"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
400	0,5615008	0,9021621	0,3577643	0,0304510	1,0367433	0,3661248	0,3108433	0,7494541	0,9638208	0,7401968	0,8572922	0,0958420	0,8951222	0,6625156	0,9773946	0,8082516	1,0059096	0,1703177	0,4211733	0,9101644	0,9683260	0,5129777	0,1226846	0,9133727	0,1323799	0,4675114	1,0155006	1,0068928	0,5375915	0,8637153	0,0409126	0,8288615	0,8190470	0,1223907	0,6504157	0,6944158	0,9654957	0,7045291	0,3540566	0,7444043	0,2406109	0,0262445	0,9479785	0,3599515	0,8574640	0,9594049	0,7368377	1,0176230	0,0068325	0,6655658	0,8852766	0,9223326	0,6448019	0,8682307	0,4843028	0,2777602	1,0224563	0,6334292	0,9480180	0,8320575	0,6864739	0,6986363	0,4456801	1,0185282
420	0,5455947	0,9000715	0,3841310	0,0351124	0,9910451	0,3400317	0,3155666	0,7181711	0,8656835	0,7446519	0,8153661	0,0905684	0,9535513	0,5896715	0,9658831	0,8600493	1,0302353	0,1883023	0,4157628	0,9076143	0,9729619	0,5236983	0,1445309	0,9736734	0,1256754	0,4109324	1,0488012	0,9456827	0,5386547	0,8984421	0,0236536	0,9098926	0,8202738	0,1306559	0,7254253	0,7168927	0,9659915	0,6936415	0,3129185	0,7188480	0,2612343	0,0329703	0,9316096	0,4069395	0,8799807	0,9818865	0,7098414	1,0500742	0,0035434	0,6523186	0,8764803	0,9111658	0,6669367	0,8821982	0,4593595	0,2646334	0,9928998	0,6603455	1,0096084	0,8268796	0,6542156	0,6342211	0,4132182	1,0478145
440	0,5540353	0,9769945	0,4450319	0,0278620	1,0061226	0,3747927	0,3177082	0,6658385	0,8359677	0,7127984	0,9026657	0,0888966	0,9467165	0,6238442	1,0146983	0,8941030	1,0992744	0,1665501	0,4811740	0,8982965	0,9861747	0,5191713	0,1763871	0,9575949	0,1271614	0,4039637	1,0147331	0,9881578	0,4801106	0,9651734	0,0152733	0,9036726	0,7990788	0,1130683	0,6856699	0,6950841	1,0086533	0,7581368	0,3048326	0,7642090	0,2279830	0,0393880	0,8687916	0,4022634	0,9486376	1,0235682	0,7385519	1,0404893	0,0021521	0,5767563	0,8560674	0,8707257	0,6084622	0,9307560	0,5104684	0,3210775	0,9850360	0,6031788	1,0353191	0,8453544	0,5754449	0,6619391	0,4486251	1,0690962
460	0,5665661	0,9841597	0,4452809	0,0354980	1,0082722	0,3339261	0,2969394	0,6863150	0,8050727	0,7480830	0,8748616	0,0762069	0,9273602	0,5988690	0,9729344	0,8812032	1,1029726	0,1513612	0,4894613	0,8978497	1,0447039	0,5608398	0,1894624	0,9096276	0,1164999	0,4518669	1,0617697	0,9016061	0,4736713	0,9773959	0,0284791	0,9948102	0,7462837	0,0950741	0,6901302	0,6056483	1,0187997	0,7339906	0,3113966	0,7034519	0,2298075	0,0431668	0,9108433	0,3971658	0,9593170	1,0644419	0,7399043	1,0316159	0,0033130	0,5670169	0,8359143	0,8235250	0,5720813	0,8543211	0,4547707	0,3054243	0,9405783	0,6012811	1,0081696	0,9840681	0,6001246	0,6387655	0,4344930	1,0194007
480	0,6018241	1,0260761	0,4529272	0,0375287	0,9631695	0,3639086	0,3300418	0,6711023	0,9879415	0,7295364	0,8931663	0,0777349	0,9271194	0,6336041	0,9839766	0,9220759	1,0792884	0,1588874	0,4635599	0,8174164	0,9560682	0,5143199	0,1724370	0,8828661	0,1077687	0,4857684	1,0037821	0,9399006	0,5456543	0,9744915	0,0323842	1,0111466	0,7865376	0,0966507	0,7112457	0,5848010	0,8583233	0,7746706	0,3151218	0,6751898	0,2025926	0,0675684	0,8340005	0,4303512	0,9419764	1,0307529	0,7768509	0,9425546	0,0006180	0,5748908	0,7909271	0,7793942	0,5819343	0,9559156	0,3842085	0,2901550	0,9882618	0,5753683	0,9507545	0,8953565	0,6613623	0,6500953	0,5164671	1,0738578
500	0,5837105	1,0400401	0,4501565	0,0543654	0,9821663	0,3706391	0,3447792	0,6802946	0,8747226	0,8237158	0,8328908	0,0690792	0,8972438	0,5685371	1,0455447	0,9305030	1,0995184	0,1315496	0,4254432	0,8216380	0,9020065	0,5174352	0,1424252	0,8916477	0,1147037	0,4469899	1,0325574	1,0173755	0,5206397	0,9600897	0,0517840	0,9796148	0,8655825	0,0961774	0,7142216	0,6502804	0,8254205	0,7230345	0,2888905	0,7222841	0,2573671	0,0593741	0,8977352	0,4602197	0,8042829	1,0643075	0,7661521	0,9816804	0,0008580	0,5666670	0,8181912	0,8349601	0,6153817	0,9838994	0,3772568	0,2997563	0,9600255	0,6518956	0,9155513	0,9297030	0,6909521	0,6350268	0,4781098	1,0867002
520	0,5943003	1,0172979	0,4403732	0,0454753	0,9102819	0,3567183	0,3783013	0,6762001	0,8836452	0,8005754	0,7814520	0,0701300	0,9031284	0,5854209	1,0704860	0,8740654	1,0755337	0,1167471	0,4571242	0,8074971	0,8661625	0,4805509	0,1448353	0,8686849	0,0926869	0,4094741	1,0402077	0,9645743	0,5192408	0,9835789	0,0493025	0,9345658	0,9347652	0,1050632	0,7098255	0,6935417	0,7963785	0,7614700	0,2895154	0,7365036	0,2364591	0,0547289	0,9013666	0,4430922	0,9171521	1,0594995	0,7246689	0,9876778	0,0015299	0,5561511	0,7227005	0,7261410	0,6669048	1,0045705	0,3559948	0,3033636	0,9356833	0,6707911	0,8612608	0,9545814	0,6428956	0,5899883	0,4682811	0,9892645
540	0,5694800	0,9370062	0,4229163	0,0434048	0,8794763	0,3841990	0,3737801	0,6482470	0,8403350	0,8086711	0,7682147	0,0918663	0,9378073	0,5189111	1,0865400	0,8454165	1,0677080	0,1328165	0,4788431	0,8251293	0,9278726	0,4341953	0,1163931	0,9499471	0,0825908	0,4597134	0,9545590	0,9177779	0,5173471	1,0257036	0,0436137	0,8375256	0,8948979	0,0838951	0,7596806	0,6875542	0,8545192	0,7619623	0,3263069	0,6969235	0,2346004	0,0692477	0,9161953	0,4288221	0,8845082	1,0246058	0,6976974	1,0014355	0,0010204	0,5402404	0,7125565	0,7186203	0,6173420	0,9901238	0,3466969	0,2487916	0,9881134	0,6336229	0,9353392	0,9430487	0,6625361	0,6083808	0,4708062	0,9678263
560	0,5067340	0,9931816	0,4124214	0,0537194	0,8734026	0,3598304	0,3171091	0,6522833	0,8023185	0,8337500	0,7315776	0,0667367	1,0202595	0,5063374	0,9699670	0,7942696	1,0653802	0,1393711	0,4779493	0,8148248	0,9526166	0,4433347	0,1089320	0,9513142	0,1277708	0,3994275	0,9709122	0,8639516	0,5195947	0,9826016	0,0309663	0,8630891	0,8462574	0,0862367	0,6693888	0,6897903	0,9305370	0,7556376	0,2851650	0,7177817	0,2450282	0,0514559	0,8908631	0,4466784	0,9090364	0,9963834	0,6488634	0,9091875	0,0000740	0,5353995	0,7395245	0,8015177	0,5599347	1,1059856	0,3685021	0,2224911	0,9676771	0,6604124	0,9618412	0,9117703	0,6722390	0,6092785	0,4914508	1,0508986
580	0,5670252	0,9886028	0,4115155	0,0445923	0,9471932	0,3422183	0,2626043	0,6194164	0,7361185	0,7642887	0,6433885	0,0590893	0,9633774	0,6737908	1,0072974	0,7744388	1,0343928	0,1564453	0,4363279	0,7796730	0,9516993	0,4399604	0,1048824	0,9364201	0,1182731	0,4615964	0,9064626	0,8502364	0,4757364	1,0107041	0,0338515	0,8588434	0,8768540	0,0791623	0,6792804	0,6913551	0,8444271	0,8217998	0,2957650	0,7254528	0,2564361	0,0456195	1,0024959	0,4327749	0,9172954	0,9170576	0,6778681	0,9457998	0,0227606	0,5567972	0,7660430	0,8347972	0,5623591	1,0334574	0,3803870	0,2626852	0,9929708	0,6060388	0,9775589	0,8852812	0,6577466	0,5120169	0,5000219	1,0898137
600	0,6050940	1,0567766	0,4331606	0,0502356	0,9338799	0,4093454	0,3110158	0,6554843	0,7423446	0,7185696	0,5681549	0,0650607	0,8867098	0,7212345	1,0073614	0,7550210	0,9787592	0,1574171	0,4312772	0,8471143	0,9382416	0,4321760	0,1650514	0,9166026	0,1064775	0,4785913	0,8299661	0,8820565	0,5084098	1,0598386	0,0282697	0,8626952	0,8635480	0,0746345	0,7449444	0,7479002	0,8032684	0,8797343	0,2638863	0,8287258	0,2378028	0,0729021	1,0236986	0,4188962	0,8942219	0,8920744	0,6933254	0,9747687	0,0801147	0,5382331	0,7951992	0,8546303	0,5761615	1,0319395	0,4063264	0,3562988	0,9982956	0,6136694	0,9931077	0,8253942	0,6584782	0,4781939	0,5559278	1,0582358
620	0,6643140	1,0867338	0,4134640	0,0506274	0,8819740	0,4699265	0,3650087	0,6138521	0,8328431	0,5935970	0,5281630	0,0764019	0,8457084	0,6989679	1,0771446	0,8104137	1,0455369	0,1319803	0,4108291	0,9058359	0,8882724	0,4390052	0,1496837	0,8753321	0,1704324	0,4272256	0,7953523	0,9233772	0,4821541	1,0425415	0,0517592	0,8831740	0,8566553	0,0763505	0,7167897	0,7023404	0,8030202	0,8474955	0,2578049	0,7823290	0,2204640	0,0879380	1,0518597	0,4157573	0,8934160	0,8102924	0,7434301	0,9079514	0,1254603	0,5648988	0,8154888	0,8372102	0,5540073	0,9319273	0,3687039	0,3513538	0,9224177	0,5376210	0,9449954	0,7875559	0,6321768	0,4777166	0,5443289	1,0627775
640	0,7507361	1,0457827	0,4509774	0,0419100	0,9648937	0,5106339	0,2963622	0,6861650	0,8325478	0,5082690	0,4359301	0,0557156	0,8057297	0,8239008	1,1086006	0,8220650	1,0617431	0,1495738	0,5131921	0,9081499	0,8751712	0,4453763	0,1741239	0,8123815	0,2098477	0,3526173	0,7493607	0,9772001	0,5098775	1,0530960	0,0547383	0,8628611	0,8894970	0,0775316	0,7238060	0,6928099	0,8386395	0,9113328	0,2009467	0,7937043	0,2467718	0,0767491	1,0318867	0,4277483	0,9419360	0,7354174	0,7616562	0,9787382	0,1640278	0,5615658	0,7423809	0,8048457	0,5329401	0,9764478	0,3145917	0,2874227	0,8274279	0,6006886	0,9140300	0,8474644	0,6418224	0,4272712	0,5290347	0,9965208
660	0,7567512	1,0749048	0,4024149	0,0424260	0,8507675	0,5851127	0,3124876	0,6768996	0,7813434	0,4487547	0,3755663	0,0573777	0,7335483	0,9609990	1,1063810	0,8789994	1,0422747	0,1460848	0,5253905	0,9116007	0,8887950	0,4484994	0,1992946	0,8164667	0,2272861	0,3286426	0,7714447	0,9658476	0,5102814	1,0378819	0,0587285	0,8449736	0,8808753	0,0725064	0,7077511	0,7225336	0,7624892	0,8200000	0,1790029	0,8193799	0,2426232	0,0577645	1,1200750	0,3846205	0,9002846	0,7143169	0,7306377	0,9981240	0,1745348	0,5127007	0,7301841	0,8963214	0,5065966	0,8967957	0,3514215	0,2480869	0,8813776	0,6356133	0,8995756	0,8109465	0,6412920	0,3627579	0,5643051	1,1292990
