"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
180	0,1189194	1,0481256	0,0946452	0,0661277	1,0276867	0,9585206	0,0153645	0,7759877	0,0809813	0,0974503	0,0627686	0,1703600	0,0434955	0,0093382	0,9939831	0,3608193	0,2028498	0,9885776	0,5035747	0,1109747	0,5247864	0,0218285	0,0224856	0,6796102	0,8743434	0,7437285	0,1089112	0,9043444	0,1064712	0,2331838	0,2596910	0,5436253	0,0043879	0,8773657	0,0116871	0,0055087	0,0385335	0,0797275	1,0934326	0,5474157	0,7023161	0,1258495	0,0005627	0,0414924	0,0517100	0,9545985	0,2977918	0,2617430	0,9947607	0,8984271	0,1904318	0,0111852	0,0165697	0,0021616	0,0378605	0,0122642	0,0487948	1,0939165	0,0079534	0,0141450	0,0797620	0,1296323	0,0247825	0,0646307
200	0,0949990	1,1156506	0,0896064	0,0729352	1,0136077	0,9273749	0,0171035	0,7583507	0,0944245	0,0741377	0,0698982	0,2499939	0,0363867	0,0110920	0,9964433	0,3623241	0,2111907	1,0603976	0,4833652	0,1225045	0,5921790	0,0157189	0,0197479	0,7260886	0,9254747	0,6961946	0,1314067	0,9548226	0,1086657	0,2611526	0,2319311	0,4663672	0,0025852	0,8481465	0,0121805	0,0038378	0,0293567	0,0948803	1,0939311	0,5915812	0,7100660	0,1292453	0,0014144	0,0301627	0,0510098	0,9930119	0,2720635	0,2615657	1,0303633	0,8830732	0,1701375	0,0251375	0,0095849	0,0025607	0,0286854	0,0177228	0,0597179	1,0619706	0,0113540	0,0161985	0,0711078	0,1413999	0,0290013	0,0634953
220	0,0746298	1,1330021	0,0913427	0,0504826	0,9346578	0,9706074	0,0116189	0,7167203	0,0865950	0,0692294	0,0914927	0,2941717	0,0271119	0,0110880	0,9468122	0,3477904	0,2139332	1,0571698	0,5095632	0,1241740	0,5440452	0,0151051	0,0207978	0,7640611	0,9558595	0,7193386	0,1609857	0,9780399	0,1325514	0,2719259	0,2604019	0,4568097	0,0067558	0,8930248	0,0220236	0,0096444	0,0535915	0,0865093	0,9476609	0,6394623	0,7107348	0,1359634	0,0010323	0,0436479	0,0487868	0,9480756	0,3249800	0,2067200	1,0493618	0,9136112	0,1346335	0,0262364	0,0134292	0,0053420	0,0238117	0,0063621	0,0715024	1,0057853	0,0113759	0,0128324	0,0434999	0,1135615	0,0285358	0,0582684
240	0,0605273	1,0289095	0,0873556	0,0592778	0,8877575	0,8877599	0,0076088	0,6674490	0,0949755	0,0657836	0,0907345	0,3282440	0,0143041	0,0076313	1,0065713	0,3725640	0,2237378	1,0265094	0,5353562	0,1388108	0,5240347	0,0145689	0,0176807	0,7798605	1,0106109	0,7225504	0,2163013	0,9225800	0,1337469	0,2622687	0,3571843	0,4693134	0,0147650	0,8630228	0,0183808	0,0100770	0,0470420	0,0864330	1,0402860	0,6663379	0,7701671	0,1574431	0,0001111	0,0286436	0,0489485	0,9573207	0,3571929	0,1662298	0,9745553	1,0083628	0,1089384	0,0213169	0,0189370	0,0026323	0,0385342	0,0115092	0,0690956	0,9217942	0,0062837	0,0138111	0,0633746	0,1272071	0,0191948	0,0769662
260	0,0473452	1,0836859	0,0999172	0,0385105	0,8894636	0,9171771	0,0067651	0,8300076	0,1121695	0,0601992	0,0896482	0,3287626	0,0150305	0,0103698	0,9825998	0,3768493	0,2184361	1,0600137	0,5233099	0,1480252	0,5139766	0,0282211	0,0236545	0,7801441	0,9667838	0,7533990	0,2468024	0,9053223	0,1541432	0,2744528	0,3949788	0,4853855	0,0189760	0,8952911	0,0149760	0,0072835	0,0682619	0,0760808	1,1102937	0,6573163	0,7703370	0,1580388	0,0007530	0,0372540	0,0522013	0,9577585	0,3197586	0,1298278	1,0505601	0,9548367	0,0986079	0,0190806	0,0182204	0,0099710	0,0425485	0,0071290	0,0668914	0,9591913	0,0056172	0,0113610	0,0557338	0,1315922	0,0185906	0,0768081
280	0,0628555	1,1203829	0,1035636	0,0408189	0,9061011	0,9367235	0,0076011	0,8341527	0,0995339	0,0401524	0,0863668	0,3462098	0,0158655	0,0154983	0,9671312	0,4404147	0,2166588	1,0763940	0,4781855	0,1183466	0,4808580	0,0378093	0,0279675	0,7660448	0,9599870	0,7962998	0,3014759	0,9030819	0,1518217	0,2493419	0,4192993	0,5198633	0,0146177	0,8295856	0,0197290	0,0048144	0,0743898	0,0675845	1,0901841	0,6738556	0,7819552	0,1543819	0,0018396	0,0325508	0,0587903	0,9480871	0,3173938	0,1067267	0,9698036	0,8810104	0,0928653	0,0253025	0,0126219	0,0108499	0,0125411	0,0093650	0,0719896	1,0379807	0,0055030	0,0226624	0,0683401	0,1418317	0,0223690	0,0966722
300	0,0717859	1,0323206	0,1248539	0,0513382	0,9411820	0,9196236	0,0049614	0,8244609	0,0937205	0,0471228	0,0758410	0,4003651	0,0090571	0,0132877	0,9891001	0,4919633	0,2284599	1,0483358	0,4778310	0,1139042	0,5684955	0,0648584	0,0271794	0,8032830	0,9386096	0,7495869	0,3270104	0,8191606	0,1349832	0,2854826	0,4833838	0,6278506	0,0143980	0,8319280	0,0179228	0,0065863	0,0740838	0,0793297	1,0614154	0,6103640	0,7718704	0,1318191	0,0000000	0,0471823	0,0689246	1,0241118	0,2924070	0,0804240	0,9372895	0,8565534	0,0960339	0,0294977	0,0064439	0,0075586	0,0108577	0,0245407	0,0635517	1,0525153	0,0051690	0,0240640	0,0560019	0,1621845	0,0250194	0,0942109
320	0,0658569	0,9587503	0,1098261	0,0522561	0,9194888	0,9127069	0,0023047	0,7815263	0,0857313	0,0341596	0,0822016	0,4346518	0,0063853	0,0122175	0,9148736	0,4337068	0,2561791	0,9880303	0,5134782	0,0939732	0,5350542	0,0379713	0,0189132	0,7843431	0,9872585	0,7430460	0,3985110	0,8078325	0,1523954	0,2846321	0,5825271	0,6503255	0,0145020	0,8267207	0,0247737	0,0041077	0,0701264	0,0821795	1,0394376	0,6255421	0,7809745	0,1346245	0,0000000	0,0632077	0,0655268	1,0885364	0,2819498	0,0672116	0,9911700	0,8453900	0,0453179	0,0178383	0,0123907	0,0055291	0,0184965	0,0338212	0,0548159	1,1113039	0,0104011	0,0134263	0,0690798	0,1894875	0,0231030	0,0833078
340	0,0679819	0,9735187	0,1302378	0,0372090	0,9133506	0,9354841	0,0066845	0,8426427	0,0702927	0,0471492	0,0813195	0,4287526	0,0197674	0,0045045	0,9358172	0,4031291	0,2461996	1,0209514	0,5144178	0,0880381	0,5176063	0,0456998	0,0274818	0,7606919	1,0052432	0,7517515	0,4214846	0,8375591	0,1513389	0,2934407	0,6410429	0,6203936	0,0136220	0,7932980	0,0291861	0,0043087	0,0609577	0,0729848	1,0506089	0,6126423	0,7870085	0,1314812	0,0004233	0,0666444	0,0503756	0,9764453	0,3034732	0,0517726	1,0113295	0,8498110	0,0539519	0,0162492	0,0042098	0,0052122	0,0177569	0,0245367	0,0546140	1,0437444	0,0106912	0,0188503	0,0914232	0,1430172	0,0343022	0,0803297
360	0,0627850	0,9579255	0,1227240	0,0521929	0,9589235	0,9181730	0,0111858	0,8109484	0,0717360	0,0460134	0,0986916	0,4256169	0,0201786	0,0136663	0,8795497	0,3846040	0,2401999	0,9808013	0,4775853	0,1339352	0,4978777	0,0246767	0,0362019	0,7438867	1,0178814	0,7088285	0,3684239	0,8687592	0,1890292	0,2678794	0,6518189	0,5866339	0,0130873	0,8265558	0,0249244	0,0073340	0,0431666	0,0814098	1,0478294	0,5936456	0,7738197	0,1196846	0,0002121	0,0728158	0,0428594	0,8940010	0,3395622	0,0392983	0,9934702	0,8699435	0,0684036	0,0153679	0,0062292	0,0018966	0,0125436	0,0133010	0,0469698	0,9963004	0,0078435	0,0115101	0,0823488	0,1470600	0,0322731	0,0792152
380	0,0621401	1,0328926	0,1211665	0,0486201	0,9610735	0,8626134	0,0132508	0,8615369	0,0827614	0,0444338	0,0892003	0,3769318	0,0206736	0,0165892	0,9196719	0,3617595	0,2532736	0,9654269	0,4777662	0,1696729	0,5081134	0,0318183	0,0194348	0,7254578	1,0809692	0,6648761	0,4059404	0,8341806	0,2051840	0,2552814	0,6066063	0,6146009	0,0130471	0,8271234	0,0326701	0,0090611	0,0508105	0,0633649	1,1239118	0,6047226	0,7693468	0,1283215	0,0001690	0,0491533	0,0588111	0,9821429	0,3244406	0,0576357	0,9588708	0,9767647	0,0888157	0,0147868	0,0063204	0,0023968	0,0225578	0,0109238	0,0466385	1,0530931	0,0046629	0,0137418	0,0815356	0,1488833	0,0285054	0,0755634
400	0,0885730	1,1046142	0,1349623	0,0720171	0,9906986	0,9246162	0,0128301	0,8856565	0,0920523	0,0400316	0,0973042	0,4015444	0,0208868	0,0139365	0,9359858	0,4197232	0,2278445	0,9893755	0,4538895	0,1576672	0,5893419	0,0285365	0,0168711	0,7581581	1,0637442	0,6709880	0,4866726	0,8601096	0,2196130	0,2410584	0,6289593	0,6482878	0,0106148	0,8837464	0,0267718	0,0067600	0,0490760	0,0596952	1,1033541	0,6282755	0,6954798	0,1385740	0,0009388	0,0625077	0,0538917	1,0403972	0,3406543	0,0798813	0,9524906	0,9724096	0,0651783	0,0126495	0,0141835	0,0033268	0,0184741	0,0157280	0,0501693	1,0116277	0,0104127	0,0112210	0,0753206	0,1263517	0,0250635	0,0822145
420	0,0866841	1,1441965	0,1327396	0,0688507	0,9505604	0,9107422	0,0102043	0,9442709	0,0727628	0,0398147	0,1144317	0,3914339	0,0153336	0,0095940	0,8631115	0,4589277	0,2463365	1,0572532	0,5187276	0,1597985	0,5145760	0,0461760	0,0341153	0,7781608	1,0617669	0,6752083	0,5184059	0,8813586	0,2764496	0,2712994	0,6144161	0,6256966	0,0131749	0,8568390	0,0345726	0,0155806	0,0482532	0,0715726	1,0477604	0,5823595	0,7132945	0,1228181	0,0002647	0,0649842	0,0499903	1,0566328	0,2839577	0,0879328	0,9400694	1,0324070	0,0722833	0,0130407	0,0126064	0,0023411	0,0257536	0,0186654	0,0434776	0,9877991	0,0179489	0,0185221	0,0803933	0,1330067	0,0333020	0,0876437
440	0,0784862	1,1063685	0,1295197	0,0653615	0,9682046	0,9893962	0,0105128	0,8289173	0,0981650	0,0428888	0,1167011	0,4628948	0,0096612	0,0082656	0,8855855	0,4334404	0,2210483	1,0153123	0,5374006	0,1367329	0,4911959	0,0518493	0,0323329	0,7461638	1,0137900	0,6957729	0,5315911	0,8871875	0,2577926	0,2762079	0,5308208	0,6427569	0,0156815	0,7908208	0,0258534	0,0134623	0,0475612	0,0514628	1,1275415	0,5804732	0,7140072	0,1132710	0,0005696	0,0702919	0,0503798	1,0361695	0,3340459	0,1013321	0,9262146	0,9704325	0,0704670	0,0161070	0,0066096	0,0048216	0,0168832	0,0267048	0,0282030	1,0788224	0,0123159	0,0211390	0,0802641	0,1349731	0,0521185	0,0959294
460	0,0809890	1,0723433	0,1444844	0,0578669	1,0075888	0,9611304	0,0056710	0,8536150	0,0835707	0,0336350	0,1082271	0,4924473	0,0099627	0,0137079	0,9290889	0,3755151	0,2295775	1,0614534	0,5032383	0,1486451	0,5009449	0,0492643	0,0363240	0,6954048	1,0099555	0,6288026	0,5466747	0,8678561	0,2974484	0,2954923	0,5182429	0,6578652	0,0185059	0,7922193	0,0317294	0,0112480	0,0375366	0,0391300	1,0783664	0,5281042	0,6936655	0,1180120	0,0000808	0,0725580	0,0322804	1,0109874	0,2748682	0,0829118	0,9485262	0,9674083	0,0756823	0,0177026	0,0098531	0,0051089	0,0203578	0,0206345	0,0249457	1,0947046	0,0093007	0,0252528	0,0720549	0,1560822	0,0483001	0,0817796
480	0,0658019	1,0632915	0,1441567	0,0691227	0,9645781	0,8999293	0,0093367	0,8753295	0,0675051	0,0237627	0,1003443	0,4713449	0,0114975	0,0148950	0,8946361	0,3499732	0,2113130	1,0555281	0,4566319	0,1450063	0,6044791	0,0396606	0,0182007	0,7024300	1,0313252	0,6144980	0,5393975	0,8718821	0,2624959	0,2720643	0,5468952	0,6400024	0,0103460	0,8543990	0,0307209	0,0112930	0,0317375	0,0383159	0,9686749	0,5862676	0,6930968	0,1167783	0,0002381	0,0822465	0,0535616	1,0649555	0,2780032	0,0697211	0,9676234	0,9397615	0,0676757	0,0151632	0,0052582	0,0031820	0,0278804	0,0278509	0,0329450	1,0399768	0,0091457	0,0206328	0,0830001	0,1523646	0,0469797	0,0756139
500	0,0678961	1,0766643	0,1430959	0,0708555	1,0065324	0,9721718	0,0077522	0,8723476	0,0595156	0,0172196	0,0725856	0,4585231	0,0109836	0,0132200	0,9852660	0,3575430	0,2232145	0,9868373	0,4872373	0,1310138	0,6066015	0,0345162	0,0350984	0,6731792	1,0619426	0,6924517	0,5875020	0,8965472	0,2368430	0,2729652	0,5774641	0,6418690	0,0153589	0,8556143	0,0188814	0,0090041	0,0447497	0,0372152	0,9087806	0,6118225	0,6853253	0,1373761	0,0008216	0,0532522	0,0471119	0,9997793	0,2607350	0,0546458	0,9558558	0,8511880	0,0711340	0,0102381	0,0033921	0,0015192	0,0240568	0,0282807	0,0287734	0,9440105	0,0127923	0,0211748	0,0783161	0,1748801	0,0431455	0,0532018
520	0,0572121	1,0283701	0,1167878	0,0575130	0,9753359	0,9264351	0,0057275	0,8228401	0,0431146	0,0151009	0,0657153	0,4554581	0,0161200	0,0065957	0,9173915	0,3135392	0,1709150	0,9978580	0,5008596	0,1144632	0,5494992	0,0474135	0,0169710	0,7157356	1,0839966	0,7001587	0,6212182	0,8434156	0,2829435	0,2597035	0,5751721	0,6713198	0,0156960	0,8552204	0,0232950	0,0056085	0,0330877	0,0384555	0,9060582	0,6341091	0,7251063	0,1268190	0,0011637	0,0348712	0,0772634	1,0037322	0,2215638	0,0514959	1,0495698	0,8226730	0,0611125	0,0080146	0,0082964	0,0030651	0,0113311	0,0165695	0,0467133	0,9364576	0,0063182	0,0108166	0,0659177	0,1842653	0,0407714	0,0619285
540	0,0580814	0,9949346	0,1200582	0,0604860	0,9469409	0,9297569	0,0054190	0,7598155	0,0490406	0,0393679	0,0862815	0,3988085	0,0163549	0,0082418	0,9270043	0,3860951	0,1782198	1,0263267	0,4941474	0,1030641	0,5497012	0,0389578	0,0153903	0,6885552	1,0632157	0,6544110	0,5671211	0,8463317	0,2829439	0,2423205	0,5519347	0,6829020	0,0104279	0,8804428	0,0248869	0,0037440	0,0291275	0,0416974	0,8905078	0,6219391	0,7234277	0,1354282	0,0024528	0,0307504	0,0831267	1,0265704	0,2253777	0,0496139	1,0762849	0,8626557	0,1018229	0,0084790	0,0025737	0,0013463	0,0211575	0,0137087	0,0426076	1,0181575	0,0070207	0,0131802	0,0918684	0,1659431	0,0396577	0,0871249
560	0,0562644	0,9521506	0,1330932	0,0462038	0,9397016	0,8631375	0,0076815	0,8080018	0,0603352	0,0549401	0,0959284	0,4050166	0,0098279	0,0071528	0,9312911	0,4034215	0,1783038	1,0406803	0,5170049	0,1312764	0,5343366	0,0365109	0,0200432	0,7293500	1,0862892	0,7322983	0,5565337	0,8240611	0,2990000	0,2519832	0,6354067	0,6688314	0,0096819	0,8803822	0,0331838	0,0037835	0,0410621	0,0565535	0,9802484	0,6032427	0,7271274	0,1424352	0,0010661	0,0362860	0,0567970	1,0567924	0,2876011	0,0490818	1,0567028	0,8411698	0,0888527	0,0045437	0,0077017	0,0008935	0,0230042	0,0134643	0,0355154	1,0506502	0,0059525	0,0079790	0,0901503	0,1636074	0,0289669	0,0951095
580	0,0825248	0,9829911	0,1247702	0,0405657	0,9670866	0,8379600	0,0116820	0,8063265	0,0629155	0,0422121	0,1056118	0,4172073	0,0195582	0,0026385	0,9917700	0,3567945	0,2451049	1,1215927	0,4982809	0,1113921	0,5704240	0,0339178	0,0266121	0,7618944	1,0563313	0,7884494	0,4996723	0,9511005	0,3125003	0,2203224	0,6248580	0,6618717	0,0097719	0,8152576	0,0262355	0,0026524	0,0499705	0,0584186	0,8870126	0,5509183	0,7045955	0,1391683	0,0004033	0,0392020	0,0656911	1,0085192	0,2870768	0,0632897	1,0787134	0,8689065	0,0842828	0,0049251	0,0099010	0,0021597	0,0298148	0,0165670	0,0359164	0,9426901	0,0113282	0,0055585	0,0857218	0,1723688	0,0371594	0,0706601
600	0,1284077	1,0265474	0,1156146	0,0453421	0,9166551	0,8780492	0,0261336	0,8123862	0,0750464	0,0535806	0,1071255	0,4400563	0,0151046	0,0009630	1,0014580	0,3017185	0,3127911	1,0772142	0,4936336	0,1083769	0,5561911	0,0653976	0,0406964	0,7109185	1,0376722	0,7820261	0,5281976	0,9340307	0,3221509	0,2008525	0,5811016	0,6350721	0,0057616	0,7473986	0,0280873	0,0021718	0,0419026	0,0643080	0,9446940	0,3720226	0,7214489	0,1170612	0,0006571	0,0456820	0,0693378	0,9765076	0,2912098	0,0619758	1,0048292	0,8381968	0,0858683	0,0126233	0,0048948	0,0023775	0,0204391	0,0154956	0,0468674	0,8898766	0,0098528	0,0021247	0,0663183	0,1641425	0,0319359	0,0645055
620	0,1853506	0,9625929	0,1099391	0,0325903	0,9019248	0,8797352	0,0505604	0,8116071	0,0851720	0,0564678	0,1065473	0,4103029	0,0270937	0,0003418	0,9938696	0,2770088	0,3245110	1,1565545	0,5602088	0,1114198	0,5939579	0,0455151	0,0250317	0,6337733	1,0401788	0,7805579	0,5071003	0,9283513	0,3091485	0,1968625	0,5717007	0,6483974	0,0105128	0,5866245	0,0213089	0,0046529	0,0369415	0,0527195	0,8043361	0,2652273	0,7234850	0,1296460	0,0006754	0,0376490	0,0622010	0,9645297	0,2465572	0,1260919	0,9771411	0,7948100	0,0802328	0,0230488	0,0044872	0,0049714	0,0223452	0,0137039	0,0435897	0,7910318	0,0137454	0,0117662	0,0760856	0,1523486	0,0373230	0,0546987
640	0,1992899	0,9857787	0,1211738	0,0319499	0,8589986	0,9552705	0,0681832	0,8548456	0,1035405	0,0551871	0,1127186	0,4344806	0,0374303	0,0017185	1,0647207	0,2451527	0,3735627	1,1393509	0,6070430	0,1234285	0,6193713	0,0494431	0,0263813	0,5926201	1,0864048	0,7345566	0,4796298	0,9041734	0,3048469	0,1931997	0,5896793	0,6161800	0,0097639	0,4597227	0,0219439	0,0125434	0,0431777	0,0811000	0,8040118	0,1879296	0,6766494	0,1046546	0,0004506	0,0512731	0,0673400	0,9863765	0,2009900	0,1857111	0,9808448	0,7769026	0,0860043	0,0336133	0,0024250	0,0034771	0,0168117	0,0106382	0,0663007	0,8059068	0,0070995	0,0115953	0,0887839	0,1383744	0,0308388	0,0568099
660	0,2183391	0,9861217	0,1328339	0,0376828	0,9398415	0,8491362	0,0718563	0,9407936	0,0885736	0,0648458	0,1117519	0,3796091	0,0624286	0,0007429	1,0950527	0,2210277	0,4210332	0,9838435	0,5882553	0,1257939	0,6840984	0,1089152	0,0436776	0,5608859	1,0541038	0,7551264	0,4740295	0,9166619	0,3368876	0,1817309	0,5484988	0,5795217	0,0171386	0,3385417	0,0260429	0,0077687	0,0496045	0,0864199	0,7404374	0,1506578	0,7347686	0,1248192	0,0020647	0,0503304	0,0519035	1,0075879	0,1795192	0,2697866	0,9977588	0,8419101	0,1378275	0,0300501	0,0023834	0,0051823	0,0133945	0,0162413	0,0497316	0,7797381	0,0086941	0,0200548	0,0962151	0,1424553	0,0355714	0,0563638
