"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
180	0,0007409	0,6177329	0,4878973	0,6220825	0,8102592	0,0286444	0,2330128	0,7307989	0,4677404	0,3588926	0,6287180	0,6412628	0,6522090	0,5817322	0,0816426	0,6436454	0,4339742	0,6163444	0,6303175	0,3784944	0,5656197	0,7182095	0,2600475	0,6748686	0,1498371	0,4216980	0,6034260	0,3903290	0,4118940	0,4906584	0,4916799	0,3609180	0,2126379	0,5293304	0,0794339	0,3542626	0,6825945	0,8115580	0,7519678	0,5060987	0,6802969	0,3382752	0,1211496	0,0256801	0,6353812	0,5224894	0,3903415	0,7018906	0,8055077	0,0842335	0,2942681	0,6918798	0,0202850	0,1092030	0,4692787	0,4414576	0,4125607	0,5465965	0,6859262	0,2647829	0,2926999	0,6851677	0,7027755	0,2419803
200	0,0042244	0,6817646	0,6593416	0,6359156	0,7686159	0,0189457	0,2900486	0,6708582	0,4879332	0,4863713	0,6977733	0,7484214	0,6543945	0,6836166	0,0529615	0,6657248	0,4073136	0,6863562	0,6623328	0,4483902	0,5426813	0,6831942	0,2351314	0,5564467	0,1256353	0,4754769	0,6450231	0,4169011	0,4206504	0,5673167	0,4126737	0,2624714	0,3604104	0,4444206	0,0739525	0,3561676	0,5768034	0,8056307	0,7695349	0,5215730	0,7012078	0,2457769	0,1148700	0,0746238	0,7078085	0,7985832	0,5223372	0,8063227	0,7385866	0,1021620	0,3975753	0,6692143	0,0364686	0,1020314	0,4797383	0,4709404	0,4107638	0,5226484	0,7110909	0,2861611	0,1880185	0,6947247	0,6300791	0,2612326
220	0,0018787	0,7708398	0,4669808	0,6813279	0,8407794	0,0171457	0,2338254	0,7720967	0,4429436	0,4183387	0,6732227	0,5686822	0,6793696	0,7300044	0,0762539	0,6455503	0,4720653	0,6700433	0,6903137	0,4007016	0,5394251	0,5945215	0,2577911	0,7411350	0,1061672	0,3864388	0,5349137	0,3165797	0,4270577	0,5344083	0,6185512	0,3054042	0,3945341	0,5005062	0,0434390	0,3656569	0,6953958	0,7345060	0,7736206	0,5302052	0,5728182	0,3264613	0,1660784	0,0861087	0,6807213	0,6969337	0,4307156	0,6893361	0,9050208	0,1166585	0,2020350	0,7860257	0,0140238	0,1633698	0,4294570	0,3863197	0,4190679	0,6032721	0,7159280	0,2626848	0,2396016	0,6735867	0,6950025	0,2447914
240	0,0058638	0,7010657	0,6403842	0,7213179	0,8202826	0,0086318	0,2832599	0,7401240	0,5431459	0,4066458	0,7058672	0,6067397	0,8239231	0,6942879	0,0303400	0,5454374	0,4068430	0,7358803	0,6393214	0,3813956	0,6293902	0,6271578	0,2791171	0,6722515	0,1402755	0,4116501	0,6870889	0,3695905	0,3264253	0,5629473	0,4979076	0,2803963	0,3806362	0,5221016	0,0722423	0,3434228	0,6456169	0,8191020	1,0000000	0,4217240	0,6611551	0,3054499	0,1719510	0,0806877	0,6447615	0,8140393	0,4442329	0,7603495	0,7167828	0,0863996	0,2680428	0,7356171	0,0133016	0,1267336	0,4708130	0,4691714	0,4300786	0,5750056	0,7394344	0,2377717	0,2980401	0,6246405	0,6171212	0,2996853
260	0,0015021	0,7801606	0,5715906	0,6353609	0,7763731	0,0229960	0,2148318	0,7121845	0,4680876	0,4992305	0,7479709	0,6270455	0,6593103	0,7379854	0,0351695	0,5543626	0,4259876	0,7149531	0,6959993	0,4207951	0,5893367	0,6810915	0,2694404	0,6946514	0,0883324	0,3635413	0,5466998	0,3087383	0,3752003	0,4215375	0,5513374	0,2397273	0,4687865	0,4569401	0,0352040	0,3905753	0,7501172	0,7372165	0,7318421	0,5531302	0,6227022	0,3300410	0,1038581	0,1415873	0,6622383	0,6690933	0,4742857	0,7697849	0,7135850	0,0554729	0,2536710	0,6573955	0,0304180	0,1161755	0,4931498	0,4733531	0,3841308	0,5891706	0,6925940	0,3245638	0,2671782	0,6002594	0,8244237	0,3069097
280	0,0016707	0,6513869	0,6138788	0,6541963	0,7176286	0,0253267	0,2294616	0,7430445	0,6623661	0,5394631	0,7889327	0,7424585	0,6474081	0,7390636	0,0192780	0,6274774	0,4179781	0,6960681	0,6595007	0,3881044	0,5211145	0,6775925	0,2592496	0,7737060	0,1253929	0,3717631	0,6020929	0,3793755	0,3618503	0,4388184	0,5262559	0,3341775	0,3462098	0,4791060	0,0118676	0,3757326	0,6226955	0,7373334	0,8668196	0,5014095	0,7418426	0,2603452	0,1384199	0,0538247	0,8091924	0,6517523	0,4795143	0,5825790	0,7089067	0,1173579	0,3216455	0,6736795	0,0111827	0,1137574	0,4886530	0,4659292	0,3940875	0,5955593	0,5685323	0,3472667	0,2598258	0,5509926	0,7201143	0,3739908
300	0,0131061	0,6285228	0,5955642	0,8505115	0,7216363	0,0125800	0,2606965	0,8444383	0,4466554	0,5560117	0,7829927	0,6843216	0,6650694	0,8562207	0,0070002	0,6495547	0,3555566	0,7414660	0,6476924	0,3211432	0,5341098	0,6397338	0,3757635	0,6900976	0,2011171	0,4138912	0,6070816	0,3518121	0,3605574	0,5609548	0,5416601	0,3401045	0,3947973	0,4092421	0,0297866	0,3578057	0,7270824	0,6855305	0,6466303	0,5351698	0,7806058	0,2780942	0,1001958	0,0859873	0,6787078	0,7822802	0,3892586	0,6360505	0,7931669	0,1227010	0,3042373	0,7262489	0,0053858	0,1036962	0,5542000	0,4683347	0,3289094	0,6035305	0,6940763	0,3699915	0,2964415	0,6834564	0,7631180	0,3504448
320	0,0126770	0,8204956	0,5320133	0,6928850	0,7664431	0,0507960	0,2908420	0,6824554	0,5102052	0,4029500	0,7122336	0,7613117	0,7854618	0,7454668	0,0247310	0,6169785	0,4506269	0,6997377	0,7600489	0,4175814	0,4723769	0,5052182	0,3658092	0,7767150	0,2119262	0,4644909	0,5885925	0,4864673	0,3455250	0,4694327	0,5017640	0,3567814	0,4370573	0,5730505	0,0370393	0,4425361	0,5818271	0,6603747	0,8319274	0,5386573	0,6678673	0,3019240	0,0814910	0,1006451	0,6632322	0,8217631	0,4243363	0,6666134	0,7712854	0,1121567	0,3114423	0,7458503	0,0025373	0,1123087	0,5997412	0,4857437	0,4409152	0,7134539	0,7410158	0,3921836	0,3806116	0,6587957	0,6712667	0,3998053
340	0,0018804	0,6380064	0,6543897	0,5672714	0,6862214	0,0093647	0,2509095	0,7236921	0,5075717	0,5573939	0,8989811	0,8454354	0,7235166	0,7321414	0,0273966	0,5772739	0,4374668	0,6226351	0,7208408	0,3963995	0,4409720	0,5924593	0,4053997	0,6648717	0,2430866	0,4793407	0,5376143	0,3212755	0,3686456	0,4522373	0,4948171	0,3427090	0,5163875	0,4973129	0,0639932	0,4339413	0,6230846	0,6774869	0,7639779	0,5970063	0,7022585	0,2861544	0,0849233	0,1214108	0,6959980	0,6903753	0,5538795	0,7647402	0,6428503	0,0658492	0,2868200	0,6134874	0,0067185	0,1448164	0,5689633	0,5084373	0,3158495	0,6773003	0,7279094	0,3256398	0,3452853	0,6758951	0,7416353	0,5048741
360	0,0000000	0,6350631	0,6922750	0,7076595	0,6361799	0,0321118	0,3503442	0,6922254	0,4458502	0,3961569	0,7520302	0,6363312	0,7300000	0,7177861	0,0232946	0,6574237	0,3447687	0,7304653	0,7440289	0,4431627	0,4467535	0,5661733	0,4885717	0,5826244	0,2867733	0,4628180	0,6097074	0,3228224	0,3214490	0,5234840	0,4975470	0,3833400	0,4746839	0,4550720	0,0455371	0,4335205	0,6110865	0,8600494	0,7147468	0,6847778	0,6055667	0,3775735	0,1136912	0,0782639	0,7044303	0,5760607	0,5952096	0,7373810	0,6081002	0,0951935	0,2326188	0,6097018	0,0004253	0,0982666	0,5599272	0,4712123	0,3274487	0,7992644	0,8204223	0,3029853	0,4310059	0,6772419	0,7165975	0,3125470
380	0,0010145	0,5582799	0,5009414	0,6804279	0,6747581	0,0170560	0,3311281	0,7338268	0,5296989	0,5693534	0,7268908	0,7222992	0,7340955	0,6739202	0,0253683	0,7161018	0,4776902	0,7456440	0,7640741	0,4261044	0,4912639	0,5605864	0,4842884	0,5986524	0,3039214	0,4264399	0,5367619	0,3627719	0,3368744	0,3748810	0,4985821	0,3638213	0,5202617	0,4042043	0,0456669	0,4643184	0,6310194	0,9527714	0,6948011	0,5948155	0,6565292	0,2349669	0,1374499	0,1888891	0,7487423	0,5355309	0,5853005	0,8751339	0,7188291	0,1024503	0,2401560	0,7154295	0,0002636	0,1018539	0,6478165	0,5716961	0,4536903	0,7084152	0,6874033	0,3983431	0,3760258	0,6838307	0,7608351	0,4810135
400	0,0073346	0,6890815	0,5346591	0,6159046	0,7160703	0,0231906	0,4001316	0,6436903	0,4941045	0,4423396	0,7173545	0,8089025	0,6644191	0,5636136	0,0394143	0,7230558	0,5426306	0,7618942	0,6747270	0,4815863	0,5858433	0,6556661	0,5259020	0,8343535	0,3198292	0,5123127	0,5924275	0,3968330	0,3620032	0,4235494	0,4833348	0,3826408	0,4946735	0,5261460	0,0442191	0,3986489	0,7117547	0,7330227	0,8031329	0,6535135	0,7192381	0,3742771	0,1722871	0,1224313	0,6523282	0,7577367	0,5270363	0,6757727	0,7345715	0,0960933	0,3134420	0,7168013	0,0017577	0,1417063	0,5408841	0,5783638	0,3040175	0,7700457	0,7165008	0,4398898	0,3814795	0,5942003	0,7321425	0,3801068
420	0,0144172	0,7388791	0,5988238	0,6318143	0,6483738	0,0095874	0,3042522	0,7009677	0,4554425	0,5027382	0,7594164	0,6395251	0,7018941	0,5706450	0,0127449	0,6242866	0,4126280	0,6900896	0,6409469	0,4172125	0,4872316	0,6145083	0,4725545	0,6271475	0,3825167	0,5044779	0,6419017	0,4262286	0,3741372	0,4523323	0,5505324	0,4860110	0,5032672	0,4621581	0,0223631	0,4052016	0,5357241	0,8130547	0,8203523	0,5553828	0,6463271	0,4227213	0,0924352	0,1495720	0,7019068	0,5901060	0,4821752	0,6648247	0,7321452	0,1362015	0,2693366	0,7211468	0,0014495	0,1084690	0,5878010	0,4888701	0,3508396	0,6271790	0,7717770	0,3826978	0,4381832	0,7787870	0,7231420	0,3684506
440	0,0072979	0,7068879	0,6086874	0,5956048	0,7037687	0,0246884	0,3228295	0,6988146	0,5225220	0,5332811	0,7540339	0,8237539	0,7099521	0,6287614	0,0488834	0,6360026	0,4637553	0,7809807	0,6680407	0,4365006	0,5725887	0,5740209	0,5160820	0,7328002	0,2813768	0,4451187	0,6111445	0,3843159	0,3773552	0,4739775	0,4731111	0,4143224	0,5624512	0,5792573	0,0414964	0,4231912	0,7630830	0,7644984	0,6927779	0,6318112	0,7018120	0,4237915	0,0789406	0,1600858	0,6615500	0,7566000	0,5608387	0,7399038	0,7241393	0,1399882	0,2449041	0,6872407	0,0004518	0,1173447	0,6182923	0,5689413	0,3371507	0,6625009	0,7838710	0,4289515	0,4822397	0,6502674	0,8095305	0,3735799
460	0,0126701	0,6583248	0,6300046	0,7415424	0,6755561	0,0175303	0,3342201	0,7344177	0,5883090	0,4795595	0,6260108	0,8115476	0,7914840	0,7114578	0,0457712	0,6312598	0,4763166	0,5953535	0,6800153	0,4261332	0,5603612	0,6352066	0,4869312	0,7370412	0,3175618	0,6469507	0,6305783	0,3173168	0,3411028	0,5435937	0,5450975	0,3481345	0,5335588	0,4831034	0,0655835	0,3496166	0,7524143	0,7678058	0,6583025	0,6384833	0,7205092	0,3592118	0,1101515	0,1111568	0,6889765	0,7041399	0,7395284	0,6814475	0,6305693	0,1250159	0,2601529	0,7659920	0,0062818	0,1460703	0,6831131	0,4480804	0,4533817	0,6598987	0,6784202	0,5101987	0,3236117	0,5643852	0,9012408	0,3530480
480	0,0072204	0,6184902	0,5175140	0,7256753	0,6884063	0,0207821	0,3685206	0,8031586	0,5962833	0,4499553	0,7911444	0,7706971	0,8076122	0,7944859	0,0266120	0,6793915	0,4507001	0,9311500	0,7269006	0,4507126	0,5833554	0,7541569	0,5066018	0,6864399	0,3173201	0,5886077	0,6007074	0,4086973	0,3520379	0,4729466	0,5325033	0,3308451	0,5911405	0,4366606	0,0293745	0,4128503	0,8080662	0,7197448	0,6447609	0,5236067	0,6726137	0,3282563	0,0909953	0,1245750	0,6911017	0,7420469	0,6224321	0,6428843	0,5654753	0,1166842	0,2924094	0,7297716	0,0031747	0,1077018	0,7547559	0,4248475	0,3225248	0,7059699	0,6352427	0,3233426	0,3893072	0,6367671	0,8743890	0,3495401
500	0,0138265	0,6101084	0,5830640	0,7349938	0,6832083	0,0414387	0,3975878	0,6338515	0,5159866	0,4238582	0,7179887	0,7878241	0,8527138	0,6489744	0,0382923	0,7633928	0,5055007	0,6478477	0,7771959	0,3553786	0,6059467	0,6435144	0,4352675	0,8271496	0,3613240	0,6177494	0,6212725	0,4772023	0,4197664	0,5639225	0,5341299	0,4223110	0,5761940	0,5159473	0,0471802	0,3200319	0,6874689	0,7180570	0,8020352	0,6358812	0,6734962	0,2890699	0,1130697	0,1083152	0,6102179	0,8868090	0,6022579	0,6625317	0,7197010	0,1820871	0,2238205	0,7970901	0,0015751	0,1696101	0,7408303	0,5041307	0,2937273	0,7189513	0,7041321	0,3184150	0,4383272	0,7433750	0,6790927	0,5097195
520	0,0091509	0,7138192	0,5825739	0,6816263	0,7699356	0,0267428	0,3619594	0,5789344	0,5273108	0,4731100	0,6815475	0,8641009	0,8458545	0,7117501	0,0168830	0,6708307	0,4101854	0,7398769	0,7229425	0,4033753	0,4997584	0,6022228	0,5866694	0,6368257	0,3882454	0,4562857	0,6663559	0,3812355	0,4627268	0,4649483	0,5787314	0,3888048	0,6641584	0,4648938	0,0571389	0,4693897	0,6907518	0,6675199	0,7268813	0,6490962	0,5205642	0,4341059	0,0929797	0,1075326	0,6491118	0,7392892	0,5783179	0,9381721	0,6985975	0,1738269	0,2904670	0,6343200	0,0037883	0,1238537	0,5591247	0,4551994	0,3153423	0,6413512	0,6736289	0,4405854	0,4215591	0,7898819	0,7735770	0,4728287
540	0,0034121	0,6771357	0,6369183	0,6332011	0,6455471	0,0270559	0,3194010	0,6412711	0,4651198	0,4930476	0,6445108	0,7220788	0,8279411	0,7690491	0,0389636	0,6727132	0,3958852	0,7129432	0,7303492	0,5267481	0,5564368	0,8719417	0,3987102	0,6596774	0,3832476	0,5431020	0,6645352	0,4090111	0,4523714	0,5742705	0,5897202	0,3796911	0,5595556	0,3904310	0,0542506	0,3405715	0,6289659	0,7681468	0,7070549	0,6942148	0,7151156	0,3945669	0,1169549	0,1954678	0,8248365	0,7527572	0,5347676	0,7718618	0,9470740	0,1253632	0,3813781	0,6976998	0,0033751	0,0618961	0,5944985	0,6216514	0,2668835	0,8013450	0,6963360	0,3613616	0,5173230	0,5473433	0,6292982	0,3695760
560	0,0145435	0,6269277	0,6810621	0,7096404	0,6194706	0,0578385	0,4640543	0,6005082	0,6716259	0,6456828	0,7594028	0,7685904	0,7874916	0,6251822	0,0192583	0,7290665	0,5376105	0,7194427	0,6827875	0,4280456	0,5082483	0,6986561	0,5197971	0,8226827	0,4675802	0,4303909	0,6903449	0,3683753	0,5367516	0,4335413	0,5212850	0,4279621	0,5506198	0,5093419	0,0503151	0,3472930	0,6557046	0,7439444	0,6373388	0,5361433	0,5111206	0,3769878	0,1275716	0,1956777	0,6592021	0,7611933	0,4690832	0,7039883	0,7199613	0,2027735	0,3296956	0,6737120	0,0004426	0,2215127	0,6820375	0,4656747	0,2530343	0,6829022	0,7537363	0,4738844	0,5057064	0,6705115	0,7858821	0,4705272
580	0,0027292	0,5935350	0,5430372	0,7134144	0,6469549	0,0366837	0,2883236	0,6362791	0,4634585	0,5532568	0,6418894	0,7750693	0,7015637	0,5257233	0,2355030	0,6000486	0,5102484	0,8291344	0,7518945	0,4915603	0,3049385	0,4971780	0,4294247	0,8002536	0,3637651	0,5216351	0,6995484	0,4130395	0,4490056	0,4046800	0,3424745	0,3043314	0,6077580	0,4356850	0,2200417	0,2871602	0,8389529	0,7518044	0,5981157	0,6588376	0,3651071	0,3345048	0,3222344	0,1493276	0,6817610	0,7251713	0,5953485	0,8103855	0,7660059	0,1342485	0,3850191	0,5140868	0,0251256	0,1195449	0,7581835	0,5594198	0,3725863	0,5368951	0,6831761	0,4344307	0,5062263	0,5668680	0,7761105	0,3778444
600	0,0004615	0,4483855	0,5450970	0,7444296	0,6383532	0,0229816	0,2804495	0,5326022	0,4328022	0,5043937	0,7151549	0,7450027	0,9028651	0,5819565	0,2451682	0,7345124	0,5872667	0,6796112	0,5641101	0,3887144	0,2997280	0,4826642	0,3451600	0,7232502	0,2317500	0,5505591	0,5867627	0,3130934	0,4007121	0,3963994	0,2474854	0,3637721	0,5569356	0,4171058	0,2525409	0,3560380	0,6166676	0,6991534	0,4815769	0,5751215	0,2879082	0,4512334	0,4332512	0,1703506	0,6454557	0,7464427	0,5244251	0,6946645	0,7177295	0,1369044	0,3322255	0,4195800	0,0240893	0,1568854	0,7420987	0,5283455	0,3754411	0,6874324	0,5928525	0,3719917	0,5106455	0,5382209	0,6809259	0,3947152
620	0,0043330	0,4797874	0,4865022	0,6541525	0,6941702	0,0388581	0,2426991	0,4032316	0,5038773	0,5116912	0,7131204	0,5817625	0,7462655	0,4588982	0,3360682	0,5779933	0,4423224	0,5859852	0,5584964	0,3715697	0,1315994	0,5346754	0,2676078	0,7525246	0,1599432	0,5104723	0,5053639	0,2847707	0,4749965	0,5817961	0,1788383	0,2975370	0,5544544	0,4481862	0,4667908	0,3677289	0,7291565	0,7252149	0,5375987	0,6271313	0,2063090	0,3314931	0,4453456	0,1193274	0,6598139	0,7160210	0,5362960	0,6620356	0,5380033	0,1482712	0,3484620	0,3437694	0,0185483	0,1495256	0,7825960	0,4698561	0,4761098	0,6255379	0,8248049	0,4178039	0,4064916	0,4155646	0,6461458	0,3945543
640	0,0044974	0,5065854	0,5606457	0,6104988	0,6111845	0,0408393	0,1341358	0,5263524	0,6299083	0,4194809	0,8983395	0,6787794	0,7236068	0,3925726	0,2562894	0,6425980	0,4591551	0,5985004	0,6333641	0,4209775	0,1760903	0,4428692	0,1871000	0,8287550	0,1511894	0,5162396	0,5156114	0,3265158	0,4371247	0,4704470	0,1523758	0,4431845	0,5470164	0,3951467	0,3409533	0,5176441	0,6012601	0,7403526	0,4309350	0,6444565	0,0848695	0,3873647	0,4430859	0,1192808	0,7007110	0,8375401	0,5374757	0,6657207	0,5754830	0,1230564	0,4019184	0,3295513	0,0238914	0,1273630	0,6618723	0,3958751	0,3788901	0,5659142	0,7501383	0,4159487	0,4214312	0,4101234	0,6586693	0,4139078
660	0,0049616	0,5604674	0,4526636	0,6178138	0,6630079	0,0268538	0,1497246	0,3807648	0,5044833	0,4595232	0,6290042	0,6107396	0,7180625	0,4049309	0,3542934	0,5554351	0,3915257	0,6493145	0,5869795	0,4440798	0,0361448	0,4205203	0,1279584	0,8222477	0,1726965	0,5899507	0,4120477	0,3924909	0,4545978	0,4250198	0,1301662	0,2869289	0,5543350	0,3450707	0,4890533	0,4709416	0,6739701	0,7883880	0,5621673	0,4447753	0,1076807	0,3001202	0,3876645	0,1980758	0,7086569	0,7315261	0,5259425	0,6757190	0,6272566	0,1008800	0,4041465	0,2819954	0,0204347	0,0881999	0,6371101	0,4304477	0,6203565	0,4923020	0,7213712	0,3942296	0,4988270	0,5178399	0,5566748	0,4440124
