TF	Gene	Rank
CG9932	CG9172	227
Ets98B	lft	228
Atf6	CG6329	229
Atf6	sea	230
CG13624	unk	231
CG6175	CG12065	232
CG9932	CG4169	233
vfl	Caf1-180	234
CG6175	CG9505	235
vfl	CycB3	236
Atf6	CaMKII	237
mamo	CG1824	238
CG6175	Pfrx	239
tna	CG30089	240
CG13624	ScpX	241
CG6175	CG5527	242
Atf6	CG17493	243
jing	Vps13	244
CG6175	Cdep	245
jing	N	246
Atf6	Zip102B	247
CG6175	Marf	248
jing	tefu	249
Atf6	Pur-alpha	250
Rabex-5	Rpt4	251
NfI	CG31619	252
CG9932	ND75	253
vfl	Ote	254
Atf6	AP-1sigma	255
NfI	CG7708	256
Atf6	Tsp39D	257
jing	CG4705	258
mamo	CG12170	259
vfl	fzy	260
CG6175	scf	261
Ets98B	Acp1	262
NfI	CG6044	263
vfl	CG13366	264
CG6175	sPLA2	265
bowl	ci	266
Dif	CG17746	267
NfI	Ca-alpha1D	268
NfI	nrm	269
CG6175	Irc	270
vfl	LBR	271
CG9932	CG30415	272
NfI	CG7646	273
vfl	Kdm4A	274
jing	sdk	275
pnt	Sema-5c	276
vri	CG7542	277
vfl	Su(var)2-10	278
jing	Dcr-1	279
Ets98B	CG9812	280
CG6175	SPE	281
CG6175	CG10359	282
Atf3	Dyb	283
CG9932	CG5703	284
Ets98B	CG13044	285
Ets98B	CG31904	286
Atf6	CG17698	287
Ets98B	pot	288
Atf6	drk	289
CG9932	CG12203	290
Rabex-5	Rpn1	291
Dif	Drat	292
vri	Dbi	293
ct	Myo61F	294
vfl	Cdc6	295
E(spl)m3-HLH	drm	296
bowl	miple2	297
CG6175	Rel	298
NfI	Rab3	299
vfl	asp	300
Atf6	CG33199	301
CG9932	CG9306	302
CG9932	Sod2	303
NfI	comt	304
bab2	CG17646	305
CG13624	Sxl	306
vfl	cal1	307
CG6175	CG11210	308
mamo	CG32441	309
Thd1	PlexA	310
jing	Hcf	311
mamo	CG8188	312
Dif	prtp	313
ct	CG5346	314
Hr78	5PtaseI	315
CG6175	Phm	316
NfI	CanB	317
Rabex-5	Rpt2	318
CG6175	swa	319
CG6175	CG4213	320
mamo	CG11275	321
Thd1	Dyrk3	322
so	mid	323
CG6175	Spn43Ab	324
mamo	dj-1beta	325
CG6175	BigH1	326
CG6175	CG5390	327
Dif	CG6040	328
Ets98B	Pu	329
vfl	smg	330
CG6175	fat-spondin	331
CG6175	CG31705	332
CG6175	rdx	333
CG6175	CG3775	334
Atf6	Eb1	335
CG6175	CG4949	336
vfl	CG2247	337
Atf6	CG17486	338
Dif	Ho	339
CG6175	Cg25C	340
CG6175	AnxB11	341
Atf6	ergic53	342
Atf6	Gpi1	343
NfI	dpr7	344
mamo	CG14022	345
mamo	CenG1A	346
disco-r	lambdaTry	347
CG6175	wibg	348
Atf6	CG2201	349
vfl	dco	350
vfl	tor	351
CG6175	CycB	352
CG9932	ATPsyn-b	353
Rabex-5	Rpn9	354
CG6175	CG10680	355
CG6175	Gel	356
CG13624	Tis11	357
CG6175	CG13741	358
NfI	7B2	359
CG6175	CG6455	360
Dif	Rpn9	361
CG6175	CG31248	362
ct	Spn55B	363
Atf6	Lasp	364
mamo	blp	365
jing	l(3)72Ab	366
Dif	Eip74EF	367
CG6175	su(r)	368
CG13624	RecQ5	369
ct	CG32669	370
CG6175	CG12163	371
mamo	Vha36-1	372
ct	CG2930	373
CG6175	Cct1	374
Ets98B	CG31200	375
vri	CG31522	376
jing	LanA	377
CG6175	CG10131	378
CG6175	ATP7	379
mamo	CG6455	380
CG9932	Gapdh1	381
CG6175	modSP	382
Atf6	Unc-115b	383
NfI	miple	384
NfI	CG9919	385
CG6175	stv	386
Dif	Rpn2	387
Dif	CG13796	388
vfl	Blm	389
Atf6	Mcr	390
vfl	yem	391
ct	Ptx1	392
Ets98B	Fmo-1	393
Ets98B	Cpr92F	394
CG6175	vkg	395
NfI	CG12858	396
jing	l(3)76BDr	397
CG6175	betaTub97EF	398
Atf6	Pa1	399
NfI	CG31030	400
disco-r	CG12057	401
CG9932	CG12859	402
Dif	Ubi-p5E	403
CG6175	CG15293	404
CG6175	magu	405
vfl	CG10417	406
CG9932	CG10307	407
CG6175	NimB5	408
NfI	CG2269	409
vfl	pygo	410
ct	CG6830	411
CG9932	l(1)G0230	412
NfI	Vha68-1	413
CG32772	CG15743	414
vfl	mus81	415
mamo	Pcmt	416
CG6175	dgrn	417
CG9932	CG7603	418
CG6175	GNBP3	419
vfl	CycE	420
jing	Sec71	421
NfI	Ent3	422
CG9932	CG10219	423
Atf6	akirin	424
CG9932	ATPsyn-Cf6	425
CG6175	AMPKalpha	426
jing	fry	427
CG6175	GlyS	428
NfI	CG3955	429
CG6175	CG5346	430
CG6175	CG17202	431
CG6175	Sap-r	432
vfl	Mcm7	433
mamo	CG2807	434
bowl	fus	435
Dif	Dyrk2	436
vfl	CG6425	437
CG13624	CtBP	438
Ets98B	Cpr49Ae	439
Ets98B	grh	440
NfI	Nrx-1	441
vfl	CG2924	442
Dif	Doa	443
CG10654	CG6345	444
Dif	NKAIN	445
CG6175	CG8449	446
CG9932	Hsc70-1	447
NfI	Cdk5alpha	448
CG7987	CG12935	449
CG13624	mamo	450
CG6175	nbs	451
Ets98B	Acp65Aa	452
jing	Rme-8	453
CG6175	CG14931	454
CG6175	me31B	455
vri	Pex10	456
onecut	nSyb	457
bowl	mamo	458
Dif	CG13907	459
CG6175	Ela	460
vfl	tef	461
disco-r	CG9468	462
ct	Whamy	463
vfl	stg	464
CG9932	ATPsyn-d	465
Atf6	IntS3	466
Rabex-5	Rpn10	467
Dif	CG15617	468
vfl	lds	469
mamo	CG8132	470
ct	CG4753	471
CG6175	CG33307	472
jing	mus308	473
jing	CG1371	474
bowl	CG4686	475
Atf3	fax	476
Atf6	Eph	477
CG6175	CG2747	478
ct	mesh	479
CG9932	CG3621	480
mamo	Pgk	481
jing	mthl1	482
vfl	CG12236	483
CG9932	levy	484
bowl	Crtc	485
Ets98B	CG7214	486
CG6175	CG1637	487
vri	CG6985	488
ct	Fancl	489
CG6175	CG13026	490
Atf6	SF2	491
CG6175	Gp150	492
CG13624	CG9132	493
mamo	CG9836	494
NfI	mspo	495
CG10654	CG4619	496
ct	Mtp	497
jing	mtRNApol	498
NfI	CG13650	499
CG6175	CG14526	500
CG13624	CG32428	501
Thd1	Ephrin	502
Atf6	mRpL54	503
bowl	Su(fu)	504
CG6175	CG9609	505
Atf6	Su(var)205	506
NfI	Pkc53E	507
mamo	Saf6	508
vfl	Cks30A	509
NfI	Amph	510
Atf6	conu	511
Rabex-5	Rpn6	512
Atf6	nuf	513
Atf6	CG11577	514
ct	ced-6	515
NfI	CG11155	516
CG6175	Rab7	517
CG6175	MAN1	518
NfI	CG7582	519
CG13624	rti	520
NfI	Frq2	521
Dif	CG8128	522
CG9932	CG3321	523
NfI	TM4SF	524
Ets98B	CG17919	525
vfl	Klp10A	526
CG6175	APC7	527
CG6175	lok	528
ush	Cdc23	529
CG9932	CG4692	530
CG6175	CG3246	531
CG13624	Vap-33A	532
CG13624	Gclm	533
Atf6	Tsp42Ee	534
CG6175	IM4	535
Dif	Fem-1	536
ct	CG14820	537
Atf3	Inr-a	538
Atf6	loj	539
jing	Itp-r83A	540
Ets98B	Mmp2	541
CG13624	wap	542
CG6175	emp	543
CG6175	CG31199	544
mamo	GstE11	545
mamo	CG1265	546
Atf6	Uev1A	547
Ets98B	CG1368	548
Ets98B	CG32694	549
vfl	CG8915	550
mid	nub	551
vfl	jumu	552
NfI	Caps	553
CG6175	CG15695	554
Ets98B	Cpr47Ea	555
CG6175	trbd	556
vfl	CG17494	557
CG6175	polo	558
CG6175	skap	559
CG6175	CG18190	560
BEAF-32	Arp1	561
BEAF-32	RpS23	562
NfI	nwk	563
vfl	hb	564
NfI	RIC-3	565
Atf6	Lis-1	566
Ets98B	se	567
shn	egr	568
Ets98B	CG1299	569
jing	CG5205	570
CG6175	cbt	571
NfI	CG10830	572
Ets98B	aos	573
Dif	CG8736	574
CG6175	CG14400	575
Atf6	Alg-2	576
vfl	mars	577
Atf6	chas	578
CG6175	CG8738	579
CG6175	Nup54	580
vfl	CG3680	581
NfI	Nep3	582
bab2	Odc2	583
Atf6	gammaTry	584
NfI	CG10226	585
ct	CG13492	586
vfl	CG7156	587
Atf6	CG17454	588
NfI	Pal2	589
bowl	CG11781	590
bowl	par-1	591
vfl	muskelin	592
E(spl)m3-HLH	Bap60	593
vfl	CG12316	594
CG6175	otu	595
CG13624	stck	596
CG9932	ATPsyn-gamma	597
CG6175	Sox14	598
CG6175	CG18870	599
CG6175	CG14299	600
Dif	CG3223	601
vfl	dmt	602
CG6175	LanB2	603
ct	CG11961	604
CG6175	CG8839	605
jing	CG14299	606
Atf6	CG8671	607
CG6175	Nc73EF	608
Ets98B	CG8534	609
CG6175	Rab2	610
onecut	unc-104	611
NfI	CG15765	612
NfI	CG42322	613
vfl	pav	614
Atf3	Inx2	615
CG6175	cathD	616
Atf6	CG1416	617
CG6175	MP1	618
CG9932	CG7920	619
vfl	twin	620
Atf6	Arl4	621
CG6175	CG7739	622
Dif	CG10516	623
CG6175	Tps1	624
CG6175	Letm1	625
CG13624	CG5989	626
NfI	RabX1	627
NfI	Ace	628
jing	cdm	629
Atf6	Cul2	630
CG6175	GNBP2	631
Ets98B	CG9850	632
NfI	VhaM9.7-a	633
mamo	CG1943	634
CG6175	Spn42Da	635
NfI	Pfrx	636
CG6175	CG1620	637
Ets98B	grass	638
CG6175	Tsp66E	639
Atf6	Paip2	640
CG6175	Gale	641
CG6175	IM10	642
CG13624	Crtc	643
CG13624	dm	644
CG6175	CG1104	645
CG6175	Msp300	646
CG6175	Hml	647
CG6175	Atg8a	648
mamo	d4	649
Hnf4	CG1746	650
Ets98B	CG10178	651
mamo	Vps26	652
CG6175	CG3295	653
CG6175	lkb1	654
mamo	CG1597	655
jing	CG5604	656
CG6175	Tig	657
CG6175	CG18067	658
bowl	Fas3	659
jing	CG8184	660
ct	CG8774	661
bowl	CG13252	662
CG6175	CG17244	663
Hr78	CG31344	664
CG9932	ox	665
CG13624	Pdcd4	666
CG9932	sun	667
Atf6	dap	668
CG9932	CG7712	669
E(spl)m3-HLH	hng1	670
CG13624	qkr58E-1	671
CG6175	Acon	672
vfl	CycB	673
vfl	cav	674
CG6175	Fer2LCH	675
NfI	shi	676
CG6175	CG12338	677
NfI	Atpalpha	678
vfl	phol	679
Mitf	CG12582	680
CG9932	CG3731	681
vfl	Sep1	682
CG32772	CG11412	683
onecut	Rab3	684
Atf6	CG34439	685
Dif	Rpt4	686
Atf6	Ank	687
Atf6	CG32576	688
Dif	Exn	689
vfl	twe	690
jim	CG7536	691
Thd1	Atf6	692
CG6175	CG5746	693
Dif	CG5002	694
vri	Fancl	695
mamo	CG14196	696
CG13624	Smox	697
CG6175	Ald	698
CG6175	Ggt-1	699
jing	Vav	700
Atf6	Tim17b	701
Atf3	Sip1	702
mamo	Rpb10	703
Atf6	Adk2	704
ush	Grip75	705
mamo	mRpS14	706
Dif	CG9003	707
E(spl)m3-HLH	Alg-2	708
CG6175	Gpdh	709
NfI	tadr	710
vfl	kuk	711
vfl	feo	712
ct	ltl	713
Atf6	CG17737	714
ct	CG32473	715
Rabex-5	Rpn7	716
CG6175	CG7800	717
bowl	Pp1-87B	718
CG6175	AGO2	719
Dif	tn	720
Dif	Men-b	721
CG6175	CG5758	722
NfI	bt	723
mamo	CG6750	724
vfl	Caf1-105	725
jing	gig	726
jing	CG8858	727
CG6175	CG7637	728
CG6175	CG8552	729
NfI	CG11160	730
jing	Klp98A	731
Atf6	CG5220	732
NfI	CG13937	733
mamo	CG7420	734
Ets98B	CG9512	735
NfI	CG14186	736
CG13624	Pka-R2	737
CG9932	CoVIb	738
mamo	sni	739
CG6175	Mmp2	740
CG6175	ZnT35C	741
CG6175	CG1360	742
Dif	CG3699	743
vfl	scra	744
NfI	CG15739	745
onecut	Syt4	746
CG6175	CG4449	747
mamo	mRpL46	748
Hr78	D19A	749
jing	CG4502	750
CG6175	TSG101	751
CG13624	nudE	752
jing	Chc	753
CG6175	scb	754
Atf6	CG6707	755
CG6175	CG14567	756
CG9932	l(3)neo18	757
CG6175	frma	758
CG6175	CG5059	759
ct	CG2145	760
CG13624	Pp1-87B	761
ct	CG17119	762
vfl	insv	763
mamo	CG9034	764
CG6175	IM3	765
ct	NAAT1	766
CG6175	cort	767
CG6175	Odc1	768
Dif	CG32170	769
vfl	cmet	770
CG9932	CoVIII	771
NfI	GABA-B-R2	772
CG9932	CG11876	773
ct	CG10062	774
bowl	l(2)35Be	775
ct	CG18173	776
CG6175	CG12262	777
CG13624	Dsp1	778
Thd1	MED26	779
CG6175	daw	780
CG6175	Pgi	781
ct	CG32633	782
vri	CG7970	783
ct	CG3328	784
NfI	CG2993	785
Atf6	CG5708	786
BEAF-32	CG13220	787
ct	CG32795	788
CG6175	CG11739	789
Rabex-5	Txl	790
E(spl)m3-HLH	CG4004	791
bowl	CG14441	792
CG6175	CG8358	793
CG6175	Ndg	794
CG9932	CG7580	795
ct	CG3209	796
Ets98B	qsm	797
CG5953	Moe	798
Dif	Rpn6	799
klu	abd-A	800
ct	CG34176	801
drm	CG11395	802
mamo	HIP-R	803
Rabex-5	Rpn5	804
CG6175	Prat2	805
CG9932	CG8680	806
vfl	Nurf-38	807
ct	CG4335	808
CG6175	Galt	809
CG6175	Cyp9b2	810
vfl	l(2)dtl	811
CG6175	CG3829	812
NfI	betaCOP	813
CG6175	SppL	814
Atf6	Hydr2	815
CG6175	Vps13	816
CG9932	SdhB	817
CG6175	Fsn	818
mamo	Egm	819
CG6175	CG8613	820
Ets98B	Sox14	821
vfl	sina	822
CG6175	CG8042	823
disco-r	CG10827	824
Dif	CG6231	825
drm	CG9238	826
jing	Lon	827
toy	drm	828
NfI	Eip63F-1	829
CG6175	CG7777	830
CG6175	CG16836	831
CG6175	CG7766	832
bowl	Cyp6d4	833
Rabex-5	Rpt1	834
CG6175	CG4302	835
Ets98B	Tsp	836
Thd1	Nipped-B	837
CG6175	Cyp28d1	838
ct	Etf-QO	839
CG10654	Trap1	840
vfl	dnk	841
mamo	CG14182	842
Ets98B	yellow-d2	843
Rabex-5	Rpt5	844
Atf6	CG9926	845
mamo	l(1)G0136	846
bun	CG3632	847
CG6175	CG5028	848
disco-r	kappaTry	849
bowl	Nrx-IV	850
CG6175	CG17266	851
CG9932	Argk	852
Atf3	IP3K2	853
jing	CG6230	854
Dif	Cpr100A	855
CG13624	CG14441	856
CG6175	poe	857
CG9932	Gpo-1	858
Dif	yellow-d2	859
vfl	CycA	860
Atf6	CG5059	861
CG9932	Pgi	862
Ets98B	pio	863
ct	Mec2	864
Atf6	Tango11	865
jing	Kdm2	866
CG6175	sut1	867
CG6175	lectin-28C	868
CG6175	CG17841	869
CG6175	CG33470	870
NfI	CG8500	871
vri	CG17680	872
CG13624	Dat	873
CG6175	Spn28Dc	874
CG6175	Surf6	875
NfI	CG33170	876
vfl	vfl	877
mamo	CanA-14F	878
Atf6	sn	879
CG6175	Art1	880
Ets98B	Faa	881
CG6175	CG1882	882
vfl	ago	883
ct	CG31915	884
dsx	CG5945	885
Ets98B	CG5397	886
Dif	CG18622	887
BEAF-32	awd	888
NfI	CaMKII	889
CG6175	Adgf-D	890
bowl	l(3)neo38	891
NfI	CG8245	892
CG7987	CG11267	893
Atf6	CG2023	894
jing	ATP7	895
vfl	l(3)05822	896
Ets98B	Slc45-1	897
CG6175	Snr1	898
Thd1	Ank	899
NfI	Gbeta5	900
CG6175	CG4721	901
mamo	mav	902
bun	CG1407	903
tsh	CG5096	904
NfI	Nckx30C	905
mamo	hk	906
CG6175	CG34331	907
CG9932	kdn	908
ct	Tsp2A	909
jing	sick	910
CG6175	CG7272	911
CG6175	l(3)01239	912
jing	didum	913
bun	Spt5	914
CG6175	regucalcin	915
vfl	Gem2	916
CG6175	RagC-D	917
CG6175	Oscillin	918
CG6175	CG6927	919
Atf6	Ostgamma	920
jing	crb	921
CG6175	CG9422	922
disco-r	CG9673	923
ct	CG10116	924
jing	poe	925
vfl	polo	926
NfI	kcc	927
NfI	CG4467	928
disco-r	CG13102	929
jing	Rho1	930
CG6175	cora	931
mamo	Sirt4	932
vfl	14-3-3zeta	933
mid	Whamy	934
CG6175	RYBP	935
CG6175	CG11076	936
ct	NimB4	937
mamo	CG3862	938
Atf6	SppL	939
CG6175	CycH	940
CG13624	Pcd	941
vri	CG1319	942
bowl	CG3107	943
ct	CG31198	944
CG6175	cv-d	945
NfI	CG43897	946
ct	crq	947
CG6175	Pvr	948
Ets98B	CG2781	949
Atf3	Pkc98E	950
jing	Glg1	951
klu	CG31523	952
ct	CG6310	953
ct	Mdr50	954
NfI	CG13920	955
CG6175	Gyk	956
NfI	CG5376	957
CG6175	CG2736	958
Atf3	CG3038	959
CG6175	feo	960
Ets98B	Cct1	961
ct	Ance-5	962
Dif	Asph	963
ct	Glt	964
CG6175	CG5010	965
CG13624	CG45050	966
ct	Inx7	967
CG6175	CG18858	968
mamo	Sec5	969
CG6175	Fit1	970
Atf6	alpha-Cat	971
NfI	jdp	972
vfl	sub	973
CG6175	CG1307	974
vfl	xmas-2	975
vfl	gus	976
Rabex-5	Prosbeta5	977
Ets98B	CG31199	978
CG6175	Spn42Dd	979
bowl	CG4365	980
onecut	Appl	981
Atf6	Mlc-c	982
CG9932	CG7630	983
vfl	scf	984
CG6175	CG31731	985
CG9932	Lpin	986
mid	CG34176	987
vfl	RecQ4	988
NfI	nrv3	989
CG6175	CG9372	990
CG6175	LSm3	991
Ets98B	CG34454	992
CG6175	CG33120	993
CG6175	gbb	994
NfI	CG6812	995
Atf3	CAP	996
Atf6	CG15309	997
NfI	List	998
bun	beta-Spec	999
Dif	CG16721	1000
Atf6	CG4972	1001
CG6175	Glut4EF	1002
vri	gfzf	1003
jing	Got1	1004
Atf6	CG17931	1005
Ets98B	CG30344	1006
Ets98B	CG31207	1007
CG13624	Efr	1008
ct	CG12910	1009
CG6175	Tina-1	1010
CG6175	CG4716	1011
dsx	Arr2	1012
NfI	CG3009	1013
CG6175	tos	1014
CG6175	Ugt58Fa	1015
CG9932	CG10737	1016
CG6175	Pen	1017
CG6175	alpha-Est7	1018
vfl	bif	1019
NfI	CG9413	1020
NfI	MED15	1021
Ets98B	Inr-a	1022
Ets98B	CG3961	1023
bowl	nmdyn-D7	1024
vfl	Fancl	1025
CG6175	Ance-4	1026
ct	AP-2alpha	1027
BEAF-32	RpS10b	1028
CG6175	CG6834	1029
CG6175	Indy	1030
CG6175	CG5707	1031
CG6175	AnxB9	1032
Dif	CG3609	1033
CG6175	Acsl	1034
CG6175	CG1628	1035
CG6175	stg	1036
CG9932	NDUFS3	1037
NfI	ALiX	1038
Atf6	Nipped-A	1039
Thd1	Eph	1040
CG9932	CG14757	1041
Atf3	CG3402	1042
ct	CG32813	1043
vfl	U4-U6-60K	1044
Atf6	CG6983	1045
mamo	CG1840	1046
dsx	CG9317	1047
CG13624	Myb	1048
ct	CG8586	1049
ct	CG31445	1050
Dif	MESK4	1051
CG6175	mtrm	1052
bab2	arg	1053
CG13624	CG8031	1054
CG6175	TfIIFalpha	1055
ct	CG14526	1056
bowl	BCAS2	1057
Atf6	CG32850	1058
Atf3	lbk	1059
Atf3	Droj2	1060
CG6175	CG7523	1061
CG6175	CG14882	1062
ct	VhaAC45	1063
ct	NtR	1064
vfl	Sema-1b	1065
NfI	CG5758	1066
NfI	CG31221	1067
mamo	CG15715	1068
jing	CG13192	1069
ct	CG7461	1070
Ets98B	CG1889	1071
Atf6	R	1072
Ets98B	CG13309	1073
CG6175	endos	1074
Rabex-5	Prosalpha3	1075
Ets98B	smp-30	1076
NfI	CG12355	1077
CG6175	Nmt	1078
disco-r	Mal-A3	1079
CG13624	cu	1080
Dif	mmy	1081
CG6175	Cyp6a9	1082
CG6175	ird1	1083
CG6175	CtsB1	1084
ct	CG18480	1085
mamo	CG10395	1086
Mitf	sti	1087
Thd1	Sec13	1088
vfl	Cap-G	1089
Atf6	chrb	1090
Atf3	cwo	1091
CG9932	Neb-cGP	1092
CG6175	botv	1093
vfl	dgt5	1094
bowl	mys	1095
bab2	CG14990	1096
Rabex-5	Rpn11	1097
CG13624	qkr58E-3	1098
CG9932	Ehbp1	1099
CG6175	Piezo	1100
bun	CG9769	1101
CG6175	tral	1102
CG6175	Cyp6a13	1103
CG9932	Eno	1104
Atf6	Galphaq	1105
CG9932	CG7430	1106
drm	magu	1107
vri	CG7912	1108
E(spl)m3-HLH	CG30069	1109
CG6175	Spat	1110
mamo	GATAd	1111
CG6175	Pdi	1112
CG9932	CG3214	1113
CG6175	Idgf4	1114
bun	Tctp	1115
CG6175	CG7433	1116
vfl	Rox8	1117
vfl	Cbl	1118
Atf6	nrv3	1119
disco-r	CG33127	1120
ct	CG6805	1121
Thd1	CG32000	1122
emc	Inx2	1123
Dif	CG9934	1124
ct	CG34330	1125
CG13624	hoe1	1126
Ets98B	nahoda	1127
jing	Dhc64C	1128
CG13624	mre11	1129
bun	Pp1alpha-96A	1130
CG13624	scu	1131
CG6175	dhd	1132
CG10654	CG1750	1133
mamo	AQP	1134
vfl	CG14229	1135
ct	Ugt35a	1136
Atf6	CG32039	1137
ct	CG10911	1138
CG6175	CG6340	1139
Thd1	CG17883	1140
E(spl)m3-HLH	pch2	1141
ct	CG7702	1142
CG6175	CG16743	1143
dsx	CaMKI	1144
Atf3	Ac76E	1145
NfI	CG13830	1146
drm	BM-40-SPARC	1147
CG6175	Trp1	1148
CG9932	Pglym78	1149
CG6175	Orct	1150
bowl	PMCA	1151
Rabex-5	Prosbeta2	1152
CG6175	CG3835	1153
Atf6	CG5989	1154
CG6175	CG17278	1155
BEAF-32	CG8331	1156
CG6175	CG1970	1157
drm	CG14500	1158
CG6175	vas	1159
vfl	CG11357	1160
dsx	CG8129	1161
CG6175	hfw	1162
ct	vkg	1163
Dif	Rap2l	1164
CG9932	CG10320	1165
Ets98B	Cpr49Ab	1166
ct	CG3987	1167
NfI	Proc	1168
bowl	Sxl	1169
klu	Cyp4g1	1170
E(spl)m3-HLH	AdSS	1171
ct	nec	1172
vfl	pim	1173
Dif	phtf	1174
vfl	Klp67A	1175
CG6175	CG5778	1176
Atf3	CG7206	1177
mamo	CG6254	1178
mid	CG15347	1179
Atf6	PDCD-5	1180
CG6175	Spn27A	1181
CG6175	CG9674	1182
