Converted with https://www.biotools.fr/drosophila/fbgn_converter
Mdh2	FBgn0262559
RhoL	FBgn0014380
Galk	FBgn0263199
DhpD	FBgn0261436
Pex14	FBgn0037020
SMC1	FBgn0040283
Tequila	
Sas10	FBgn0029755
trbd	FBgn0037734
E(spl)m3-HLH	FBgn0002609
CG17834	FBgn0028394
CG8924	FBgn0030710
pygo	FBgn0043900
loco	FBgn0020278
wapl	FBgn0004655
CG31274	FBgn0051274
CG34422	FBgn0085451
CG13248	FBgn0036984
CG4666	FBgn0029838
Int6	FBgn0068137
RfC4	FBgn0260985
sds22	FBgn0028992
hig	FBgn0010114
CG34401	FBgn0085430
312	FBgn0029514
chico	FBgn0024248
Pkc53E	FBgn0003091
CG17202	FBgn0038043
Mtap	FBgn0034215
Cap-D2	FBgn0039680
CG15523	
Tsp39D	FBgn0032943
Rh2	FBgn0003248
Prosbeta3	FBgn0026380
AIF	FBgn0031392
CG5767	FBgn0034292
Ref1	FBgn0010774
CG11248	FBgn0037117
ntc	FBgn0035461
meigo	FBgn0250820
sea	FBgn0037912
Cpr97Eb	FBgn0039481
CG34288	FBgn0085317
RpL24-like	FBgn0037899
mbm	FBgn0086912
CG9008	FBgn0028540
CG9459	FBgn0037764
Mad	FBgn0011648
tai	FBgn0041092
CG10116	FBgn0036367
Appl	FBgn0000108
JhI-1	FBgn0028426
htl	FBgn0010389
Cdc27	FBgn0012058
Odc2	FBgn0013308
LRP1	FBgn0053087
Ost48	FBgn0014868
sra	FBgn0086370
Dad	FBgn0020493
Drp1	FBgn0026479
prod	FBgn0014269
CG17475	FBgn0038481
z	FBgn0004050
Utx	FBgn0260749
pic	FBgn0260962
CG3925	
CG6597	
Rpb12	FBgn0262954
Ipk1	FBgn0050295
CG6182	FBgn0039158
CG6073	FBgn0039417
CG12112	FBgn0030048
CG1647	FBgn0039602
CG12713	FBgn0036536
TfIIEalpha	FBgn0015828
CG10320	FBgn0034645
elB	FBgn0004858
CG5021	FBgn0035944
mthl5	FBgn0037960
CG9796	FBgn0068188
CG14220	FBgn0031036
CG5276	FBgn0037900
CG7255	FBgn0036493
hoe1	FBgn0041150
gbb	FBgn0024234
CG11781	FBgn0039259
TAF1B	FBgn0037792
Dcp1	
Reps	FBgn0032341
CG7708	FBgn0038641
CG4686	FBgn0038739
Hydr1	FBgn0033382
Cka	FBgn0044323
Rox8	FBgn0005649
MED10	FBgn0036581
Faa	FBgn0016013
REG	FBgn0029133
slow	FBgn0035539
CG4538	FBgn0038745
dah	FBgn0015926
Nplp1	FBgn0035092
CG2310	FBgn0039665
CG14509	FBgn0039647
CG8680	FBgn0081246
Tep2	FBgn0041182
Aats-asp	
CG6006	FBgn0063649
GIIIspla2	FBgn0030013
Got1	FBgn0001124
ZnT86D	FBgn0037875
Ack	FBgn0028484
Eaf	FBgn0033166
CG6364	FBgn0263398
CG16758	FBgn0035348
CG16965	FBgn0032387
CG6834	FBgn0037935
Proc-R	FBgn0029723
Egm	FBgn0086712
CG13014	FBgn0030759
RFeSP	FBgn0021906
trc	FBgn0003744
CG6425	FBgn0039449
Snm1	FBgn0037338
mRNA-cap	FBgn0030556
CG15343	FBgn0030029
CG11275	FBgn0034706
CG34455	FBgn0085484
daw	FBgn0031461
CG11911	FBgn0031249
Flo1	FBgn0024754
CG17359	FBgn0036396
Met75Ca	FBgn0028416
Cyp309a1	FBgn0031432
CG8525	FBgn0033735
tty	FBgn0015558
cort	FBgn0000351
CG15356	FBgn0031377
SH3PX1	FBgn0040475
CG8929	FBgn0034504
CG9416	FBgn0034438
CG9682	FBgn0039760
Sh	FBgn0003380
Syx7	FBgn0267849
CG8009	FBgn0036090
CG6937	FBgn0038989
Tsp97E	FBgn0039465
vari	FBgn0250785
CG18135	FBgn0036837
CG5527	FBgn0039564
CG4020	FBgn0029821
v(2)k05816	
eIF-3p66	
CG4398	
CHKov1	FBgn0045761
msl-3	FBgn0002775
Spn31A	FBgn0032178
CG6511	FBgn0035923
CG9601	FBgn0037578
casp	FBgn0034068
CG5515	FBgn0039163
l(2)05714	FBgn0010607
Pebp1	FBgn0038973
CG14057	FBgn0036696
mRpL19	FBgn0037608
Liprin-gamma	FBgn0034720
PGRP-SA	FBgn0030310
Trpm	FBgn0265194
CG7857	FBgn0026738
rev7	FBgn0037345
CG32112	FBgn0052112
CG31751	FBgn0086909
CG1317	FBgn0035333
CG16817	FBgn0037728
CG11695	FBgn0030316
tim	FBgn0014396
CG12512	FBgn0031703
CG1399	FBgn0033212
CG9795	FBgn0037234
hay	FBgn0001179
arr	FBgn0000119
CG8818	FBgn0033751
CG34172	FBgn0085201
CG1971	FBgn0039881
Sas-4	FBgn0011020
me31B	FBgn0004419
CG6421	FBgn0025827
CG3335	FBgn0036018
CG12374	FBgn0033774
Sse	FBgn0035627
Gos28	FBgn0044871
Cyp6a21	FBgn0033981
Cyp6d4	FBgn0039006
Mnt	FBgn0023215
CG4610	FBgn0034735
cag	FBgn0017414
piwi	FBgn0004872
Prosbeta6	FBgn0002284
Clect27	FBgn0031629
CG8314	FBgn0034057
CG2100	FBgn0037369
Wee1	FBgn0011737
LysP	FBgn0004429
CG12177	FBgn0030510
att-ORFA	FBgn0067783
CG7956	FBgn0038890
Ns2	FBgn0034243
th	
CG17028	FBgn0036552
CG4552	FBgn0031304
CG13796	FBgn0031939
CG8184	FBgn0030674
RpS16	FBgn0034743
CG1291	FBgn0035401
CG1637	FBgn0030245
Arf102F	FBgn0013749
CG3437	FBgn0035998
stops	FBgn0086704
Tom70	FBgn0032397
BigH1	FBgn0038252
CG5412	FBgn0038806
Pfrx	FBgn0027621
Mtp	FBgn0266369
CG12050	FBgn0284251
CG10165	FBgn0032801
sPLA2	FBgn0033170
sle	FBgn0037810
ppan	FBgn0010770
dod	FBgn0015379
CG14543	FBgn0039404
mRpS35	FBgn0035374
CG13667	FBgn0035890
DMAP1	FBgn0034537
mRpS25	FBgn0030572
dbo	FBgn0040230
Atf3	FBgn0028550
CG5463	
bcn92	FBgn0013432
betaggt-II	FBgn0028970
CanA-14F	FBgn0267912
DLP	
CG30415	FBgn0250838
Taf6	FBgn0010417
zfh1	FBgn0004606
CG3967	FBgn0035989
Pdp	FBgn0029958
Golgin84	FBgn0039188
Prp18	FBgn0027784
CG7912	FBgn0039736
qm	FBgn0019662
IntS6	FBgn0261383
CG11837	FBgn0039627
Spase25	FBgn0030306
CG4593	FBgn0029929
beag	FBgn0037660
CG6503	FBgn0040606
nemy	FBgn0261673
ZnT77C	FBgn0037000
IM14	FBgn0067905
Pal2	FBgn0262728
CG4646	FBgn0033810
KdelR	FBgn0267330
pho	FBgn0002521
CG34001	FBgn0054001
Unc-76	FBgn0040395
H	FBgn0001169
Mur29B	FBgn0051901
CG11236	FBgn0031860
CG8397	FBgn0034066
twf	FBgn0038206
RN-tre	FBgn0020620
NAA20	FBgn0031043
Ehbp1	FBgn0034180
MED11	FBgn0036811
tun	FBgn0034046
CG7218	FBgn0038569
CG33082	FBgn0053082
CG11134	FBgn0030518
l(2)37Cc	FBgn0002031
rogdi	FBgn0036697
Picot	FBgn0024315
Rbpn-5	FBgn0034585
cype	FBgn0015031
CG13366	FBgn0025633
PGRP-SC1b	FBgn0033327
CG14322	FBgn0038532
mfrn	FBgn0039561
CG5056	FBgn0032231
CG8516	FBgn0037757
Pde6	FBgn0038237
CG2371	FBgn0030323
csul	FBgn0015925
betaTry	FBgn0010357
CG10915	FBgn0034308
CG12121	FBgn0030109
Prosalpha6	FBgn0250843
Caf1-105	FBgn0033526
Zyx	FBgn0011642
YT521-B	FBgn0027616
CG12237	FBgn0031048
mRpS26	FBgn0036774
mip120	FBgn0033846
Ncc69	FBgn0036279
msl-1	FBgn0005617
CSN1b	FBgn0027057
CG14414	FBgn0030571
Pkn	FBgn0020621
Zasp66	FBgn0035917
SRPK	FBgn0026370
Eaat2	FBgn0026438
HP4	FBgn0035829
Marf	FBgn0029870
l(1)G0148	
CG12910	FBgn0033502
CG11594	FBgn0035484
CG4572	FBgn0038738
put	FBgn0003169
Gl	
CG17574	FBgn0033777
Mink	FBgn0039250
CG13309	FBgn0035933
CG1968	FBgn0033401
CG16896	FBgn0035073
Ranbp21	FBgn0031051
Aldh-III	FBgn0010548
CG10341	FBgn0032701
Hs2st	FBgn0024230
ari-1	FBgn0017418
CG33213	FBgn0053213
Spn42Dc	FBgn0033113
Caps	
CG17739	FBgn0033710
bs	FBgn0004101
opm	FBgn0264389
CG18343	FBgn0033683
not	FBgn0013717
CG33169	FBgn0053169
EloA	FBgn0039066
CG7197	FBgn0084967
CG5367	FBgn0032228
HLH106	
CG11377	FBgn0031217
aft	FBgn0026309
CG14401	FBgn0032900
Mon1	FBgn0031640
CG5162	FBgn0030828
CG5500	FBgn0039461
CG1910	FBgn0022349
Mst85C	FBgn0028708
dor	FBgn0000482
CG13957	
scny	FBgn0260936
TpnC73F	FBgn0010424
az2	FBgn0025185
RpS17	FBgn0005533
CG10426	
CG11835	FBgn0031264
Brf	FBgn0038499
CG8369	FBgn0040532
Prx3	FBgn0038519
CG8149	FBgn0037700
CG1889	FBgn0030164
CG8195	FBgn0034032
CG7712	FBgn0033570
CG11777	FBgn0033527
RnpS1	FBgn0037707
cry	FBgn0025680
Pat1	FBgn0029878
CG18731	FBgn0042213
CG5382	FBgn0038950
CG7741	FBgn0033615
CG4553	FBgn0039336
aru	FBgn0029095
laccase2	FBgn0259247
YL-1	FBgn0032321
Sec8	FBgn0266672
CG11137	FBgn0037199
CG5590	FBgn0039537
LM408	
CG18428	FBgn0039149
PlexB	FBgn0025740
CG10508	FBgn0037060
dnc	FBgn0000479
CG6567	FBgn0037842
CG30389	FBgn0050389
ytr	FBgn0021895
CG17904	FBgn0032597
CG10126	FBgn0038088
sNPF	FBgn0032840
pea	FBgn0086895
CG6153	FBgn0032445
TfIIEbeta	FBgn0015829
Mtpalpha	FBgn0028479
Jon25Bi	FBgn0020906
CG6276	FBgn0038316
Sce	FBgn0003330
CG5399	FBgn0038353
CG7787	FBgn0032020
CG9376	
mol	FBgn0086711
babo	FBgn0011300
Ice	
icln	FBgn0029079
Asciz	FBgn0035407
CG9626	FBgn0037565
CG11873	FBgn0039633
tna	FBgn0026160
mRpL50	FBgn0028648
CG15744	FBgn0030466
CG5273	FBgn0040382
Acn	FBgn0263198
mbf1	FBgn0262732
CG7048	FBgn0068258
GlyS	FBgn0266064
CG9143	FBgn0034496
CG33116	FBgn0053116
CG14830	FBgn0035755
RpA-70	FBgn0010173
Fbw5	FBgn0031773
ko	FBgn0020294
CG3940	FBgn0037788
CG3621	FBgn0025839
XNP	FBgn0039338
CG9536	FBgn0031818
upSET	FBgn0036398
CG13993	FBgn0031776
BG642312	FBgn0047334
GstE10	FBgn0063499
CG14439	FBgn0029898
CG8108	FBgn0027567
tst	FBgn0039117
CG14341	FBgn0031315
cer	FBgn0034443
Argk	FBgn0000116
sosie	FBgn0039232
cic	FBgn0262582
CG5044	FBgn0038326
CG10286	FBgn0037439
ana1	FBgn0262167
CG32069	FBgn0052069
CG11617	FBgn0031232
otu	FBgn0003023
CG8952	FBgn0030688
Reg-5	FBgn0015801
LysE	FBgn0004428
epsilonCOP	FBgn0027496
Adh	FBgn0000055
CG10562	FBgn0039326
Cpr65Au	FBgn0042119
Taz	FBgn0026619
RpS27	FBgn0039300
nac	FBgn0265351
CG11883	FBgn0033538
CG8300	FBgn0029937
CG9444	FBgn0037730
RpL36	FBgn0002579
Khc	FBgn0001308
eIF4G	
CG30152	FBgn0034543
Rcc1	FBgn0002638
Amun	FBgn0030328
CG1116	FBgn0037297
Mpc1	FBgn0038662
Sik2	FBgn0025625
CG5246	FBgn0038484
RpS11	FBgn0033699
CG8726	FBgn0033244
CG31087	FBgn0051087
APC4	FBgn0052707
Bmcp	FBgn0036199
rdgA	FBgn0261549
DNApol-alpha50	FBgn0011762
und	FBgn0283478
CG7222	FBgn0033551
CG8602	FBgn0035763
CG6418	FBgn0036104
Smu1	FBgn0038666
CG15695	FBgn0038832
CG6084	FBgn0086254
Gbs-76A	FBgn0036862
Fit2	FBgn0036688
Obp99a	FBgn0039678
mago	FBgn0002736
CG10144	FBgn0035704
TBPH	FBgn0025790
CG6201	FBgn0032343
Calx	FBgn0013995
mars	FBgn0033845
CG4557	FBgn0029912
Elba2	FBgn0031435
CG14967	FBgn0035420
CG1561	FBgn0030317
Eap	
CG9175	FBgn0031779
pigeon	FBgn0010309
Ncoa6	FBgn0031698
CG42724	FBgn0261641
CG9356	FBgn0037688
Ogg1	FBgn0027864
mys	FBgn0004657
Mbs	FBgn0005536
nSyb	FBgn0013342
CG1764	FBgn0030467
CG6912	FBgn0038290
Grip91	FBgn0001612
CG13900	
Spt6	FBgn0028982
CG17698	FBgn0040056
CG5646	FBgn0039525
Cda5	FBgn0051973
RPA2	FBgn0032906
E(var)3-9	FBgn0260243
CG3356	FBgn0034989
CG3987	FBgn0038292
CG7492	FBgn0035807
lectin-37Da	FBgn0053532
CG9531	FBgn0031817
Aatf	FBgn0031851
rt	FBgn0003292
GNBP3	FBgn0040321
Obp19b	FBgn0031110
CG12264	FBgn0032393
Zir	FBgn0031216
Oatp74D	FBgn0036732
CG8306	FBgn0034142
Apc2	FBgn0026598
CG6983	FBgn0035896
T-cp1	
Tip60	FBgn0026080
inaF-B	FBgn0259918
apt	FBgn0015903
Eaat1	FBgn0026439
CG9312	FBgn0038179
CG8635	FBgn0033317
CG34310	FBgn0085339
CG14544	FBgn0039407
CG5390	FBgn0032213
CG13005	FBgn0030794
CG31759	FBgn0051759
CG7149	FBgn0031948
Six4	FBgn0027364
ver	FBgn0262524
Ns3	FBgn0266284
CG30183	FBgn0050183
IntS12	FBgn0039459
Elp2	FBgn0033540
CG6163	FBgn0036155
RpL35	FBgn0029785
l(2)not	FBgn0011297
nclb	FBgn0263510
Ser12	FBgn0011832
ade2	FBgn0000052
Rtnl1	FBgn0053113
CG31510	FBgn0051510
CG2010	FBgn0039667
CG5902	FBgn0039136
CG12974	FBgn0037065
CG32281	FBgn0052281
CG13751	FBgn0033340
CG17839	FBgn0036454
CG6610	FBgn0035675
CG9306	FBgn0068200
cwo	FBgn0259938
CG13760	FBgn0040375
Nnf1a	FBgn0034523
Ugt58Fa	FBgn0040091
CG9107	FBgn0031764
SCAR	FBgn0041781
CG7637	FBgn0033548
Sug	
Ran	FBgn0020255
CG7016	FBgn0039238
Atg13	FBgn0261108
CG7824	FBgn0039711
ldlCp	FBgn0026634
myo	FBgn0026199
fbl6	
GstE3	FBgn0063497
Oat	FBgn0022774
Pi3K92E	FBgn0015279
CstF-64	FBgn0027841
cos	FBgn0000352
CG8229	FBgn0033356
CG13364	FBgn0026879
Eip55E	FBgn0000566
RhoGEF4	FBgn0035761
Ric	FBgn0265605
CG18547	FBgn0037973
CG14511	FBgn0039641
CG7033	FBgn0068259
CG12702	FBgn0031070
CG8449	
Neos	FBgn0024542
Ppcs	FBgn0261285
SPE	FBgn0039102
dwg	FBgn0000520
CG10492	FBgn0032748
Gapdh1	FBgn0001091
CG6067	FBgn0029828
Sam-S	FBgn0005278
ik2	
pum	FBgn0003165
CG15362	FBgn0031378
nos	FBgn0002962
mtm	FBgn0025742
CG32579	FBgn0052579
emp	FBgn0010435
Vps36	FBgn0086785
Tis11	FBgn0011837
CG6345	FBgn0037816
mtrm	FBgn0010431
CG14022	FBgn0031700
CG5171	FBgn0031907
GstE1	FBgn0034335
CG12948	FBgn0037739
CG2260	FBgn0030000
CG12413	
CG7967	
Rh5	FBgn0014019
RpL24	FBgn0032518
CG7772	FBgn0030883
Galphao	FBgn0001122
CG4729	FBgn0036623
CG6415	FBgn0032287
CG14483	FBgn0034248
SmG	
MtnC	FBgn0038790
deltaCOP	FBgn0028969
CG9799	FBgn0038146
CG13920	FBgn0025712
CG4829	FBgn0030796
hang	FBgn0026575
gfzf	FBgn0250732
Vps33B	FBgn0039335
ScpX	FBgn0015808
polo	FBgn0003124
CG17598	FBgn0031194
Smox	FBgn0025800
CG17985	FBgn0033199
r	FBgn0003189
tau	FBgn0266579
Mical	FBgn0053208
Prpk	FBgn0035590
tral	FBgn0041775
CG33170	FBgn0053170
Neurochondrin	FBgn0037447
CG11737	FBgn0037592
CG9989	
flw	FBgn0000711
Dyb	FBgn0033739
CG6568	FBgn0034210
CG1824	FBgn0030403
msps	FBgn0027948
Hex-A	FBgn0001186
CG7378	FBgn0030976
CG13795	FBgn0031937
CG4000	FBgn0038820
Arp3	FBgn0262716
mnb	FBgn0259168
BI-1	FBgn0035871
mtDNA-helicase	FBgn0032154
l(2)06496	FBgn0064604
Dhc64C	FBgn0261797
CG13026	FBgn0036656
CG13384	FBgn0032036
l(2)gl	FBgn0002121
CG3301	FBgn0038878
GluClalpha	FBgn0024963
Rad17	FBgn0025808
CG2258	FBgn0029997
ubl	FBgn0022224
NnaD	
a	FBgn0000008
Map205	FBgn0002645
CG12159	FBgn0033232
chas	FBgn0263258
CG11686	FBgn0040551
Pez	FBgn0031799
atilla	FBgn0032422
fry	FBgn0016081
Uch-L5	FBgn0011327
CG14881	FBgn0038425
CG1299	FBgn0035501
e(y)1	FBgn0000617
mRpL40	FBgn0037892
Listericin	FBgn0033593
NimB2	FBgn0028543
CaMKI	FBgn0016126
JhI-21	FBgn0028425
CG31689	FBgn0031449
ico	
Rack1	FBgn0020618
trr	FBgn0023518
ap	FBgn0267978
Npc2a	FBgn0031381
CG4165	
GNBP1	FBgn0040323
CG33144	FBgn0053144
CG6565	FBgn0032513
fend	FBgn0030090
CG3446	FBgn0068326
Sin	FBgn0028402
CG7992	FBgn0031004
CG18508	FBgn0028746
abs	FBgn0015331
CG12224	FBgn0037974
Atac1	FBgn0031876
Atg1	FBgn0260945
CG1750	FBgn0039836
Vps45	FBgn0261049
CG7872	FBgn0030658
Taf5	FBgn0010356
CG33096	FBgn0053096
Fur1	FBgn0004509
TotA	FBgn0028396
Atg17	FBgn0037363
CG17752	FBgn0038718
Rpn6	FBgn0028689
Fibp	FBgn0036911
Hmu	FBgn0015737
Sfmbt	FBgn0032475
mats	FBgn0038965
Fad2	FBgn0029172
CG10311	FBgn0038420
pyd	FBgn0262614
CG2852	FBgn0034753
CG5199	FBgn0036994
a6	FBgn0023130
CG6910	FBgn0036262
jim	FBgn0027339
ball	FBgn0027889
h	FBgn0001168
dsd	FBgn0039528
Ugt35a	FBgn0026315
CG7429	
Kdm2	FBgn0037659
Scp2	FBgn0020907
CG6180	FBgn0032453
Fst	FBgn0037724
CG13919	FBgn0035248
ph-d	FBgn0004860
CG7372	FBgn0036522
CG7639	FBgn0033989
CG16734	FBgn0037667
Jon65Aiv	FBgn0250815
CG8027	FBgn0033392
CheA75a	FBgn0036783
CG31100	FBgn0051100
CG10590	
CG1461	FBgn0030558
fy	FBgn0001084
CG1885	FBgn0030066
Dref	FBgn0015664
nkd	FBgn0002945
cyc	FBgn0023094
CG11741	FBgn0040531
Bx42	FBgn0004856
CG5800	FBgn0030855
CG5734	FBgn0032191
CG10550	FBgn0039321
Cog3	FBgn0031536
CG9240	FBgn0030669
CG31778	FBgn0051778
CG6353	FBgn0038893
pita	FBgn0034878
Mur18B	FBgn0030999
CG13704	FBgn0035583
CG1458	FBgn0062442
CG14894	FBgn0038428
out	FBgn0259834
Cpr47Ea	FBgn0033597
CG9121	FBgn0031675
CG10194	FBgn0032790
CG31457	FBgn0051457
CG30185	FBgn0050185
Dcp2	
Hmg-2	FBgn0026582
Tim8	FBgn0027359
CG14104	FBgn0040786
Nup205	FBgn0031078
CG5142	FBgn0032470
Arp6	FBgn0011741
CG9485	FBgn0034618
Pmm45A	FBgn0033377
CG2972	FBgn0030177
CG8891	FBgn0031663
O-fut2	FBgn0027791
D1	FBgn0000412
Lin29	
CG10463	FBgn0032819
CG4991	FBgn0030817
CG17562	FBgn0038449
CG16979	FBgn0036512
Prat2	FBgn0041194
CG1142	FBgn0037504
CG11882	FBgn0039642
CG8031	FBgn0038110
Deaf1	FBgn0013799
mio	FBgn0031399
sev	FBgn0003366
CG2680	FBgn0024995
VhaAC45	FBgn0262515
Rae1	FBgn0034646
CG4769	FBgn0035600
Sap30	FBgn0030788
CG32694	FBgn0052694
Nup58	FBgn0038722
26-29-p	FBgn0250848
Nup133	FBgn0039004
l(2)35Bc	
GCC88	FBgn0037881
CG18586	FBgn0035642
Cp110	FBgn0031191
CG8839	FBgn0033717
CG1486	FBgn0031174
CG42666	FBgn0283741
Dip3	
MED14	FBgn0035145
exu	FBgn0000615
TER94	FBgn0261014
CG5758	FBgn0032666
dia	FBgn0011202
CG18190	FBgn0034403
nAChRalpha4	FBgn0266347
spirit	FBgn0030051
CG1090	FBgn0037238
CG8435	FBgn0034084
CG17249	FBgn0035249
CG1041	
CG15445	FBgn0031161
CG18787	FBgn0042125
Rga	FBgn0017550
CG32485	FBgn0052485
CG8066	FBgn0038243
CG43444	FBgn0263392
CG34163	FBgn0085192
mRpS23	FBgn0260407
thr	FBgn0003701
lectin-24Db	FBgn0040102
CG4045	FBgn0025629
CG10469	FBgn0035678
CG15111	FBgn0034419
CG34220	FBgn0085249
svp	FBgn0003651
CG18769	FBgn0042185
Etf-QO	FBgn0033465
Cul1	FBgn0015509
CG13397	FBgn0014417
CG33229	FBgn0053229
CG30373	FBgn0050373
l(2)gd1	FBgn0261983
GalNAc-T1	FBgn0034025
Csp	FBgn0004179
CG34404	FBgn0085433
CG7601	FBgn0027583
CG9372	FBgn0036891
Ude	FBgn0039226
l(2)k01209	FBgn0022029
NimB5	FBgn0028936
Dcp-1	FBgn0010501
CG13902	FBgn0035166
vih	FBgn0264848
CG9384	FBgn0036446
CG14945	FBgn0032402
CG10089	FBgn0036369
CG15896	
CG3321	FBgn0077385
bif	FBgn0014133
Grip71	FBgn0032705
Aats-trp	
Imp	FBgn0262735
CG8372	FBgn0032000
CG3520	FBgn0034859
AnxB10	FBgn0000084
Aplip1	FBgn0040281
Zif	FBgn0037446
Ubp64E	
CG1234	FBgn0037489
GstT4	FBgn0030484
vap	FBgn0003969
CG32267	FBgn0052267
grass	FBgn0039494
Gpdh	FBgn0001128
Duox	FBgn0283531
thoc5	FBgn0034939
Srp54k	FBgn0010747
Reph	FBgn0021800
VhaSFD	FBgn0027779
CG30159	FBgn0050159
Cct1	
Mhc	FBgn0264695
5-HT2A	FBgn0087012
Mob4	FBgn0259483
mRpS18B	FBgn0032849
bw	FBgn0000241
CG31102	FBgn0051102
CG11876	FBgn0039635
mRpL4	FBgn0001995
CG34229	FBgn0259832
RpS24	FBgn0261596
lft	FBgn0032230
alphaSnap	FBgn0250791
E(bx)	FBgn0000541
CG11444	FBgn0029715
Ilk	FBgn0028427
syd	FBgn0024187
mle	FBgn0002774
Atg6	FBgn0264325
l(2)dtl	FBgn0013548
unc-45	FBgn0010812
CG3835	
CG3678	FBgn0038461
CG7110	FBgn0032521
CG5958	FBgn0031913
CG7692	FBgn0036714
Cyp4s3	FBgn0030615
DNApol-eta	FBgn0037141
sofe	FBgn0030242
koi	FBgn0265003
Ets98B	FBgn0005659
Ttc19	FBgn0032744
GABA-B-R2	FBgn0027575
CG9705	FBgn0036661
CG14464	FBgn0033000
CG15630	FBgn0031627
papi	FBgn0031401
CG13102	FBgn0032088
Sec61alpha	FBgn0086357
CSN7	FBgn0028836
Glg1	FBgn0264561
Tsp42Eb	FBgn0042086
Cyp6t1	FBgn0031182
CG1236	FBgn0037370
CG31104	FBgn0051104
CG11109	FBgn0037200
RpL26	FBgn0036825
Aats-tyr	
CG30394	FBgn0050394
CycJ	FBgn0010317
CG4594	FBgn0032161
Nha1	FBgn0031865
RAF2	FBgn0036624
Sesn	FBgn0034897
tum	FBgn0086356
CG43867	FBgn0264449
CG8142	FBgn0030871
egl	FBgn0000562
CG5694	FBgn0032197
CG7246	FBgn0030081
lid	FBgn0031759
Gclm	FBgn0046114
alpha-Man-II	
CG7168	FBgn0038586
cdc2rk	
CG4858	FBgn0037011
RpL10Ab	FBgn0036213
Smg6	FBgn0039260
ergic53	FBgn0035909
CG9319	FBgn0032881
CG4230	FBgn0031683
NTPase	FBgn0024947
shf	FBgn0003390
mRpL18	FBgn0026741
CG18507	FBgn0028527
NK7.1	FBgn0024321
Gtp-bp	FBgn0010391
Shab	FBgn0262593
CG15717	FBgn0030451
fsd	FBgn0033813
dgrn	FBgn0037384
hts	FBgn0263391
CG12203	FBgn0068470
chp	FBgn0267435
CG32095	FBgn0052095
CG11807	FBgn0033996
Dd	FBgn0029067
POSH	FBgn0040294
RhoGAP18B	FBgn0261461
Swip-1	FBgn0032731
CG8121	
CG10082	FBgn0034644
CG17260	FBgn0031498
Vrp1	FBgn0243516
CG7966	FBgn0038115
Jon65Aiii	FBgn0035665
RluA-2	FBgn0032256
CG8155	FBgn0034009
Cyp4e2	FBgn0014469
Smr	FBgn0265523
Fcp1	FBgn0035026
RecQ5	FBgn0027375
CG1239	FBgn0037368
CG5343	
CG17683	FBgn0262115
Dredd	FBgn0020381
ndl	FBgn0002926
Psf3	FBgn0030196
Rab4	FBgn0016701
CG30403	FBgn0050403
CG7694	FBgn0038627
CG9422	FBgn0033092
Aprt	FBgn0000109
Arp10	FBgn0031050
Patronin	FBgn0263197
Lhr	FBgn0034217
pico	FBgn0261811
Rev1	FBgn0035150
CG13086	FBgn0032770
CG3939	FBgn0040396
MFS18	FBgn0025684
eIF2B-alpha	
CG2691	FBgn0030504
CG5326	FBgn0038983
CG34383	FBgn0085412
Act57B	FBgn0000044
MED15	FBgn0027592
CG1965	FBgn0037466
CG15436	FBgn0031610
Pkc98E	FBgn0003093
Cyp9b2	FBgn0015039
sip3	FBgn0039875
ric8a	FBgn0028292
CG33970	FBgn0053970
