"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
180	0,4056216	0,4868561	0,5083164	0,0877437	0,6201348	0,4635010	0,5081960	0,2997391	0,3001015	0,5270563	0,6793489	0,4201640	0,5727834	0,7614680	0,4964061	0,5463269	0,0241776	0,6528802	0,5933621	0,5819436	0,0875986	0,1602288	0,1736046	0,6430801	0,5548152	0,1673189	0,0913519	0,6645094	0,5762096	0,2691700	0,4103496	0,3614877
200	0,4228410	0,5156943	0,3568928	0,0755625	0,6480813	0,4605227	0,5456858	0,2766657	0,2764125	0,5592858	0,7527019	0,4055862	0,5806402	0,6941604	0,6191353	0,6313260	0,0687945	0,6213237	0,4918466	0,6766754	0,1106518	0,2120899	0,1599515	0,5978665	0,5568093	0,1655555	0,0937560	0,6184143	0,6878893	0,3300318	0,4341884	0,4052905
220	0,4662363	0,4220903	0,4840999	0,1110712	0,6921152	0,5058243	0,4347117	0,2593695	0,2989633	0,5369750	0,7943859	0,3393387	0,5910154	0,6487705	0,5819344	0,5210721	0,0466987	0,7413111	0,6261545	0,6219341	0,1121035	0,1896568	0,1915104	0,6358833	0,6294006	0,1822339	0,0867146	0,5229802	0,6349302	0,3290621	0,3126919	0,3786974
240	0,4922955	0,4013653	0,5407104	0,1081823	0,6942182	0,4356053	0,4057338	0,2159080	0,2962459	0,5226424	0,7342620	0,4295505	0,6782955	0,6043256	0,6226151	0,6224838	0,0333216	0,5683753	0,4361964	0,6891697	0,1356426	0,2205314	0,2040310	0,5722551	0,5832392	0,1933375	0,0722541	0,5010654	0,7419457	0,3265039	0,4556279	0,3794263
260	0,5340104	0,4592937	0,6759811	0,0669592	0,6288182	0,4868912	0,4654433	0,2610718	0,3484160	0,4557140	0,7971318	0,3646328	0,6545884	0,5972396	0,4894194	0,6791691	0,0478461	0,7007488	0,5251586	0,5420349	0,1666866	0,2530571	0,2094155	0,5999065	0,7644744	0,2726883	0,1555492	0,5918769	0,6917650	0,4518687	0,3500597	0,4526473
280	0,5980492	0,5431556	0,5241526	0,1102073	0,6982755	0,5600665	0,3455771	0,2493056	0,2747131	0,5364242	0,7054218	0,4555289	0,6845640	0,7262285	0,6123821	0,5702805	0,0233930	0,6009610	0,5113976	0,5753889	0,1176149	0,2325372	0,1486616	0,5663800	0,6082661	0,2358654	0,1571192	0,5259986	0,8164471	0,3657913	0,3811480	0,4207256
300	0,4441137	0,4358683	0,3795075	0,1604888	0,6667316	0,5198223	0,4693570	0,3407823	0,2811712	0,5191624	0,7182040	0,5268785	0,6615773	0,6900791	0,5463200	0,7153447	0,0302073	0,5807055	0,5150708	0,4543984	0,1488561	0,1679288	0,1627115	0,6179555	0,6321082	0,2430284	0,1346160	0,5681030	0,7545126	0,3381422	0,4413382	0,3370272
320	0,5568903	0,5060249	0,4322779	0,0556252	0,7358870	0,3885345	0,4845544	0,2851392	0,3284304	0,5258418	0,7461483	0,3435062	0,6948130	0,8169023	0,4923557	0,5055184	0,0402798	0,6326418	0,4072842	0,4322112	0,1289273	0,2263313	0,1494252	0,6525866	0,5713207	0,2969223	0,1286935	0,4901046	0,7031418	0,5143549	0,3713375	0,4324757
340	0,4863722	0,5564145	0,4572305	0,1284418	0,6185543	0,3898963	0,4910982	0,3371756	0,2517749	0,5845362	0,6843651	0,4676528	0,7270744	0,7807257	0,5211258	0,5647712	0,0431581	0,7269856	0,5181951	0,5697705	0,1206748	0,1823050	0,2286920	0,5990757	0,5122652	0,2570072	0,0987652	0,5592066	0,7981071	0,3214940	0,3650422	0,3720692
360	0,6179410	0,5550044	0,4334395	0,1212156	0,5803904	0,3806989	0,4079004	0,3011165	0,2658264	0,5364754	0,7580040	0,4205043	0,7284677	0,7907094	0,5434463	0,4417495	0,0447290	0,7342994	0,6055396	0,6470368	0,1098011	0,1857458	0,1444210	0,6190659	0,5386550	0,2130604	0,0762638	0,4351892	0,8627493	0,2770385	0,4027904	0,4491432
380	0,5244430	0,5523974	0,4950984	0,1707211	0,5856119	0,4443681	0,4290865	0,2739967	0,3175373	0,6682154	0,6887017	0,5185416	0,5983472	0,7736783	0,5166613	0,5920856	0,0157817	0,7052672	0,4883111	0,5662933	0,0972699	0,1806733	0,1465140	0,6564886	0,5770216	0,2466362	0,1192535	0,4846390	0,6982435	0,3247270	0,3919271	0,4239713
400	0,5108754	0,4633141	0,5105325	0,1425588	0,6362136	0,3679729	0,4346592	0,3742461	0,2971854	0,4410417	0,6193242	0,4833533	0,5258378	0,7101177	0,5256425	0,5702261	0,0485102	0,7594479	0,4089363	0,6902418	0,1229508	0,1655198	0,2011329	0,5775704	0,5737421	0,1824663	0,1383504	0,4463419	0,7631493	0,3130774	0,3690569	0,4072208
420	0,5784833	0,5056172	0,5410997	0,1321546	0,5877344	0,4425314	0,5418807	0,3156867	0,3147696	0,5184281	0,8185717	0,4006777	0,6976048	0,7804612	0,5281978	0,6062695	0,0323863	0,6337561	0,4978241	0,6334944	0,1614905	0,1639842	0,2098706	0,5879209	0,5845290	0,2453703	0,1387981	0,5569111	0,6767732	0,3373111	0,4112946	0,3953097
440	0,4821285	0,5050823	0,4774781	0,1258394	0,5651011	0,5301496	0,4391377	0,2606782	0,2360622	0,5429329	0,7035671	0,3832539	0,6926661	0,6500339	0,4882935	0,5793151	0,0395575	0,6054490	0,4460882	0,6442219	0,0856866	0,2463509	0,2206854	0,5679795	0,4568023	0,1932562	0,1207062	0,5958317	0,6633493	0,3086948	0,3870960	0,4314391
460	0,5230446	0,6220265	0,4728178	0,1211382	0,6300192	0,5088188	0,4646842	0,3255476	0,3262347	0,5012175	0,5894317	0,3557579	0,8013109	0,7571521	0,4099768	0,5758607	0,0353716	0,6257434	0,3933374	0,5957533	0,1582646	0,2027868	0,1263310	0,6153827	0,5026465	0,2054161	0,1642559	0,5871279	0,6818442	0,2943274	0,5330871	0,4442358
480	0,4179365	0,3800064	0,4583790	0,0841713	0,5477207	0,4100196	0,5540623	0,3004854	0,2888780	0,5558090	0,6939155	0,4259490	0,7374528	0,7698125	0,5775207	0,6961037	0,0703877	0,6260173	0,5401008	0,4729968	0,0896516	0,2284225	0,1676705	0,5878371	0,5762668	0,2100257	0,1734827	0,5984915	0,7226715	0,4220721	0,5235585	0,4416750
500	0,5214131	0,5583540	0,4578065	0,1128055	0,6188536	0,4206631	0,5128008	0,3096987	0,3459767	0,6758867	0,6898012	0,4551612	0,8123338	0,7440852	0,6211246	0,7416969	0,0348826	0,5335655	0,5119064	0,6178436	0,1211451	0,2264989	0,1615911	0,4866633	0,5120627	0,2388525	0,1330048	0,4484003	0,6356731	0,2844943	0,4460098	0,4395967
520	0,6920351	0,5069869	0,5240674	0,1004099	0,6679232	0,4260430	0,4549354	0,3009733	0,3214938	0,6360971	0,6696259	0,5584073	0,7284740	0,7530293	0,4965848	0,5711937	0,0312046	0,8196135	0,5352223	0,6977060	0,1109649	0,2006409	0,1826226	0,5908598	0,6372967	0,2458521	0,1028967	0,4543058	0,6835370	0,4583318	0,4997853	0,3920595
540	0,5244720	0,4261073	0,4478927	0,0981725	0,6206173	0,3653872	0,5728231	0,2461006	0,2802110	0,4866235	0,7387366	0,3596888	0,6628915	0,7819842	0,6222124	0,5936424	0,0360973	0,6138006	0,6843519	0,6650907	0,1007142	0,2323794	0,1346254	0,5718180	0,5495500	0,2510059	0,1125369	0,5339604	0,6028551	0,3154054	0,4642333	0,4410570
560	0,5372399	0,5198660	0,5371285	0,1529487	0,5280112	0,4238613	0,4029991	0,3179900	0,2887306	0,6462380	0,6832816	0,4893942	0,6565820	0,7128157	0,6394697	0,6832669	0,0249686	0,6658741	0,5848872	0,6625447	0,1043296	0,1605620	0,1107822	0,6433441	0,5601595	0,2251258	0,0936716	0,5606645	0,6434006	0,3277726	0,3942482	0,4270628
580	0,6081050	0,7246895	0,5245001	0,0945733	0,7213160	0,5044730	0,5213054	0,2806908	0,2875386	0,5610710	0,6496709	0,4160647	0,5971294	0,7224868	0,6292414	0,5596080	0,0411521	0,6393405	0,6213467	0,6962318	0,0743455	0,1793698	0,1336452	0,6605683	0,5307197	0,1945635	0,4381276	0,5095180	0,5498537	0,3515250	0,3993103	0,4019665
600	0,5146147	0,7308824	0,4183415	0,0720826	0,7572069	0,3494966	0,4364691	0,1867518	0,2721312	0,5294946	0,6298690	0,3591424	0,6690148	0,5926442	0,5560694	0,4932155	0,0170309	0,6869990	0,6238710	0,7418039	0,1155716	0,1645989	0,0970666	0,5236438	0,5555881	0,2267105	0,5138498	0,5089006	0,6519862	0,3269678	0,4259395	0,3391909
620	0,4307309	0,7069441	0,3458744	0,0846986	0,7148514	0,5574130	0,4702865	0,2968371	0,3389156	0,5023779	0,6157663	0,4027213	0,7787216	0,6380360	0,6068694	0,4901449	0,0419322	0,6896172	0,6304418	0,8065323	0,0672152	0,1495905	0,0591119	0,5915639	0,5989306	0,1595743	0,6393026	0,4779091	0,7154182	0,3932981	0,3984928	0,4328923
640	0,3776394	0,7105130	0,5087102	0,1251515	0,7428070	0,4452878	0,3724863	0,3137294	0,2558602	0,5586178	0,6233792	0,4663121	0,7253123	0,7340942	0,6334227	0,5595796	0,0513361	0,5736899	0,5744753	0,5889269	0,0750251	0,1276898	0,1206512	0,5847726	0,4519548	0,1911585	0,5870955	0,4888133	0,7175093	0,3717564	0,4120095	0,4206053
660	0,3824499	0,9166620	0,3723578	0,0832441	0,6383809	0,4323658	0,5231512	0,3259311	0,2895581	0,4676521	0,7074443	0,4487429	0,6731246	0,5462339	0,5974360	0,4854436	0,0960696	0,7044688	0,5594045	0,5891356	0,0965952	0,1022660	0,0843304	0,5176053	0,5451122	0,2072608	0,5136159	0,5443133	0,6055084	0,4796581	0,3185858	0,5805202
680	0,3395061	0,6966729	0,3570616	0,1355936	0,7746987	0,4656449	0,5797974	0,3523657	0,3629271	0,6484241	0,7241857	0,3995906	0,6997078	0,5840352	0,6384841	0,5987646	0,0329810	0,6042375	0,5871794	0,5314967	0,0947442	0,1243644	0,0638575	0,6062964	0,5614466	0,1749278	0,5643324	0,4238914	0,6651879	0,4306702	0,3608071	0,4410284
700	0,3458452	0,7359034	0,4155514	0,1297950	0,7768072	0,5711974	0,4345317	0,2452360	0,3055552	0,4765942	0,6928497	0,4619625	0,6526561	0,5991864	0,5858960	0,4692803	0,0491009	0,7317366	0,5374595	0,5809685	0,0764241	0,1314063	0,0554498	0,6869150	0,4992822	0,1476444	0,6078745	0,6119642	0,7449517	0,4755908	0,4497776	0,4235276
720	0,4249642	0,8814489	0,3828247	0,1714584	0,8053493	0,5214478	0,5125862	0,2298961	0,2498886	0,5090540	0,8687855	0,3795043	0,7176143	0,7078092	0,6391708	0,7155112	0,0588611	0,5480583	0,4657779	0,7640810	0,1030323	0,1440515	0,0470398	0,6573387	0,4973893	0,2011377	0,6802800	0,6207567	0,7179707	0,3554434	0,3493073	0,4638370
740	0,3823118	0,8971495	0,2997101	0,2011043	0,5763768	0,4038575	0,4811271	0,2784844	0,3090810	0,5048119	0,7869152	0,4484941	0,7974451	0,5597425	0,6373663	0,7977372	0,0246558	0,6945804	0,6382917	0,6550198	0,0691887	0,1352301	0,0588378	0,5581880	0,4119906	0,1810796	0,6553139	0,4681185	0,7626361	0,4021783	0,3160788	0,4288854
760	0,3831520	0,7333917	0,3515136	0,2004386	0,6274599	0,3786365	0,3774385	0,2760526	0,2779359	0,5565158	0,6946952	0,4486592	0,6407551	0,6412889	0,7239500	0,5948210	0,0248172	0,6137906	0,6220987	0,6425584	0,0864871	0,0663753	0,0892650	0,5951602	0,4438516	0,1582454	0,6364451	0,5542806	0,7254433	0,4747454	0,3661624	0,4261308
780	0,4138775	0,6774388	0,3022905	0,2076332	0,6650958	0,3868892	0,3905281	0,3916968	0,2555817	0,5843978	0,7988503	0,5219689	0,7531245	0,7556998	0,4635107	0,6122221	0,0530219	0,6742618	0,5797672	0,5367884	0,0790570	0,1011331	0,0513263	0,6217276	0,4539734	0,1655041	0,6115871	0,6578143	0,6612421	0,4862801	0,4949686	0,4202165
800	0,2385599	0,7623813	0,2737222	0,1623608	0,6584141	0,4422854	0,4095825	0,2839872	0,2559950	0,5946246	0,7714749	0,5760644	0,7493498	0,5599708	0,6960403	0,6145222	0,0676743	0,6941323	0,5934627	0,7416475	0,0564561	0,1021942	0,0293467	0,7803355	0,4439862	0,1714502	0,5897095	0,5271709	0,6604891	0,3436364	0,5076482	0,4631152
820	0,2248369	0,6645303	0,3510426	0,1634774	0,7255431	0,4502321	0,4434188	0,2562523	0,2600836	0,6026998	0,8015801	0,5714410	0,6805820	0,6417164	0,6860070	0,5179724	0,0306780	0,6010628	0,6724318	0,6243967	0,0665987	0,1510145	0,0266645	0,6534606	0,4362887	0,1372937	0,4887045	0,6020707	0,5701907	0,4106115	0,5117445	0,4957564
840	0,3180228	0,7667284	0,4419120	0,1685559	0,6632964	0,3500352	0,4169507	0,2837383	0,3793362	0,5053892	0,8446204	0,5281863	0,6199886	0,6341616	0,6546849	0,4893175	0,0548401	0,6691257	0,6211597	0,5877740	0,1138367	0,0734363	0,0568048	0,7054108	0,5272467	0,1615322	0,6096731	0,5211944	0,7275539	0,3901298	0,4844274	0,5393135
860	0,3227090	0,8920786	0,3311471	0,1482061	0,7780257	0,5298953	0,4521488	0,2339332	0,3055374	0,4344329	0,6230149	0,6380214	0,6767273	0,4989120	0,5897704	0,5032790	0,0830051	0,6876949	0,5637243	0,6846387	0,0780355	0,1056678	0,0599252	0,7998483	0,5317242	0,1726492	0,7264884	0,6091371	0,6449197	0,4096699	0,4510056	0,4444540
880	0,3066339	0,6928562	0,4711678	0,1729046	0,7033913	0,4488726	0,5089522	0,2255863	0,3396385	0,5107881	0,6890661	0,5367144	0,7669748	0,6038916	0,5731320	0,4768629	0,0729587	0,7920853	0,5098618	0,6477700	0,0947215	0,0896213	0,0650546	0,6028816	0,4938942	0,1463692	0,7408653	0,5468820	0,5612420	0,3223153	0,3910087	0,5281216
900	0,2739086	0,7974334	0,3730726	0,1248554	0,8291893	0,4232680	0,4754888	0,2355615	0,2738148	0,4527716	0,5522546	0,5499313	0,7587447	0,6214201	0,6066098	0,5092284	0,0379013	0,7280088	0,6054390	0,5006655	0,1222316	0,1130313	0,0743111	0,5536112	0,4790223	0,2149111	0,6235121	0,4723980	0,6265317	0,2905070	0,3989673	0,4346603
920	0,2301363	0,8757027	0,3438183	0,1081451	0,7480627	0,5134789	0,5468882	0,3159649	0,3654408	0,4640410	0,6028841	0,4656293	0,6477947	0,6411092	0,5544599	0,4270694	0,0322586	0,7176525	0,5653717	0,5720222	0,1372663	0,1476309	0,0670792	0,6634883	0,5242551	0,2143775	0,7354365	0,6640687	0,6959397	0,3074047	0,3688883	0,4105668
940	0,3963821	0,7264895	0,3138888	0,1362377	0,7437370	0,4434463	0,4507189	0,2809691	0,3212348	0,4726208	0,6626734	0,4269267	0,6568675	0,5365655	0,5716675	0,5740002	0,0758393	0,6479803	0,5694432	0,6327874	0,1039097	0,1295804	0,0755021	0,6617969	0,4886608	0,1475640	0,6303430	0,6597662	0,8517355	0,3390479	0,3686310	0,4485735
960	0,2826886	0,6597850	0,3336447	0,1083084	0,6276311	0,4652634	0,5363291	0,2411479	0,2696600	0,4039936	0,6555132	0,4958390	0,6488811	0,6245421	0,6059841	0,4848851	0,0684947	0,6186182	0,6233845	0,6085746	0,0778157	0,1126492	0,0980155	0,7366548	0,4358892	0,2561764	0,6722017	0,5841351	0,8097903	0,3211007	0,4169687	0,3454866
980	0,2609455	0,6645868	0,3626403	0,1116468	0,7314998	0,4558394	0,5677120	0,2784996	0,2673745	0,4890393	0,8079604	0,4558419	0,6484832	0,4720366	0,7026343	0,5490241	0,0463251	0,6037767	0,5944101	0,6412394	0,0945366	0,1459024	0,1249579	0,6127755	0,4476849	0,1996173	0,6110078	0,6169425	0,7897127	0,2967131	0,3462959	0,3496211
1000	0,2969234	0,7182431	0,4118769	0,1367600	0,7247420	0,4218487	0,5626238	0,2589028	0,2509950	0,5754627	0,6753271	0,4673600	0,6406322	0,4730816	0,5002347	0,4587312	0,0180005	0,7129087	0,6217571	0,5593815	0,0974737	0,1600669	0,0927463	0,7415884	0,4977371	0,2000148	0,5783078	0,4792599	0,5928514	0,3053164	0,2757178	0,3654869
1020	0,2835525	0,6989526	0,3873437	0,1013664	0,8016382	0,4881575	0,5300455	0,2883067	0,3512251	0,4644023	0,6465601	0,5260057	0,6743102	0,4738524	0,6370796	0,5259760	0,0465216	0,7029687	0,5881108	0,5984699	0,1404194	0,1823548	0,0871854	0,6634564	0,4609064	0,1603285	0,5890655	0,4695152	0,5511168	0,2608023	0,2749048	0,5078951
1040	0,2921548	0,6941162	0,3645502	0,1242865	0,7711363	0,5425393	0,5182933	0,2747962	0,1727710	0,6162556	0,6872590	0,4827892	0,8269409	0,6692747	0,4774384	0,4466402	0,0355728	0,7588005	0,6370941	0,5301886	0,0724054	0,1196369	0,1022921	0,6209475	0,4650917	0,1393261	0,5461196	0,6410567	0,6170645	0,3411421	0,3898198	0,3633567
1060	0,3210497	0,7598788	0,3891755	0,1590185	0,7475308	0,4341734	0,4791809	0,2951088	0,2913975	0,6360407	0,6722764	0,5824557	0,6598428	0,5087919	0,6263690	0,5137658	0,1066559	0,7214775	0,5893867	0,5293319	0,0608929	0,1646933	0,0703566	0,6733640	0,4622224	0,1638596	0,6916969	0,5712772	0,7695465	0,2023057	0,4893387	0,4020720
1080	0,3504829	0,6937810	0,3253909	0,1363115	0,7340354	0,5255599	0,4788131	0,3077028	0,3286298	0,5899319	0,8274268	0,6188268	0,8005292	0,5136803	0,6820796	0,6139495	0,0620833	0,7013633	0,6057131	0,5613311	0,0712991	0,1504847	0,0500781	0,5643946	0,4751539	0,2117163	0,7574639	0,5925602	0,6830749	0,2689513	0,3817701	0,4712563
1100	0,3172988	0,8497983	0,3823183	0,1302493	0,6911935	0,4317808	0,3648798	0,2607553	0,2246976	0,7449457	0,8295482	0,5833184	0,6700729	0,5740726	0,6889286	0,6487765	0,0315181	0,7148725	0,6743390	0,8302801	0,0656160	0,1738762	0,0660720	0,5261130	0,4621035	0,1724179	0,6882200	0,6917707	0,6938709	0,2291658	0,4417026	0,4985417

0	0,2609021	0,7117334	0,4087686	0,1133942	0,8703943	0,4674344	0,4841505	0,2488716	0,2981648	0,4899525	0,7280041	0,5255335	0,6825581	0,6391616	0,6881136	0,4579720	0,0648621	0,7301209	0,6480929	0,5960252	0,0851515	0,0964226	0,0450620	0,7055339	0,4590821	0,1457573	0,5999661	0,5609067	0,6398363	0,2587881	0,4075674	0,3765449
20	0,2905370	0,9330834	0,3336136	0,1324225	0,7612895	0,5178323	0,4535438	0,2075099	0,3129294	0,5082229	0,7498789	0,4029755	0,7813041	0,5105942	0,6000356	0,5537043	0,0750641	0,8088428	0,6883440	0,5801882	0,0734584	0,0803815	0,0366350	0,5344577	0,4454463	0,1169198	0,7211423	0,6399194	0,7501841	0,4366825	0,4745491	0,5188610
40	0,2674234	0,7617208	0,2772969	0,1259948	0,6761708	0,5536747	0,3748843	0,2877607	0,2879944	0,5358300	0,6712994	0,4380020	0,6403492	0,5945381	0,4562375	0,5289253	0,0396017	0,6280896	0,5670405	0,5859460	0,0449664	0,0499225	0,0277085	0,5700884	0,4800961	0,1449222	0,4894765	0,6715457	0,7243053	0,5918684	0,5594157	0,4856158
60	0,1736869	0,6457890	0,3979294	0,1357531	0,7117450	0,4703257	0,4301056	0,3201238	0,2761228	0,6112114	0,6838438	0,4603482	0,6347853	0,6563162	0,5101300	0,3910657	0,0503776	0,5760218	0,6400911	0,6639757	0,0601469	0,0834272	0,0319669	0,4960405	0,4033192	0,1878687	0,5461168	0,5343342	0,7489613	0,6625199	0,4671420	0,4811003
80	0,2448186	0,7687714	0,3799158	0,1561575	0,5799632	0,5675568	0,4168564	0,2785410	0,2625708	0,4631478	0,8181095	0,5037641	0,6803981	0,6682961	0,4938427	0,5335831	0,0384969	0,7343114	0,6149075	0,6669816	0,0775280	0,0803341	0,0312135	0,6072250	0,4719036	0,1753001	0,4686539	0,5596655	0,8855941	0,6718847	0,6258835	0,3954000
100	0,2460084	0,7236423	0,4899492	0,1227581	0,6117450	0,4760495	0,6469249	0,2906828	0,3920099	0,5337255	0,7415685	0,4722515	0,7510309	0,4964882	0,5844645	0,4798288	0,0298347	0,6954618	0,5304657	0,7146047	0,0698919	0,0793236	0,0051715	0,6370954	0,5219863	0,1765225	0,6122133	0,4467336	0,7693036	0,7271120	0,5416236	0,4754014
120	0,2371542	0,8185773	0,3495153	0,1202923	0,5785928	0,5302793	0,5089047	0,2600562	0,2960769	0,6685452	0,6818193	0,4169328	0,7252282	0,5611481	0,6190984	0,5442567	0,0396183	0,6476999	0,5102695	0,7085865	0,0588061	0,0935862	0,0119310	0,6504036	0,4157301	0,2095656	0,7125743	0,6304449	0,7195558	0,6905563	0,8311205	0,4725595
140	0,2047082	0,7846579	0,2771888	0,1073401	0,5685157	0,3685245	0,5525975	0,3126294	0,3200408	0,5725447	0,7197358	0,4493771	0,7515586	0,5809022	0,5473906	0,5357834	0,0357713	0,6903327	0,5529901	0,6455189	0,0803179	0,0871980	0,0038953	0,5974579	0,3883302	0,1207080	0,5857174	0,5635286	0,8951200	0,7748091	0,5846758	0,4761322
160	0,1282958	0,7584050	0,3658174	0,1352590	0,5738965	0,4214148	0,4494669	0,3235588	0,2873757	0,5311269	0,6471087	0,6215010	0,6380825	0,5041316	0,6160949	0,4826855	0,0555218	0,6997469	0,6666093	0,7413373	0,0715878	0,0356332	0,0088358	0,5249050	0,5662337	0,1528074	0,5928020	0,5628372	0,8210624	0,7531878	0,7476955	0,5243318
180	0,1815614	0,6885000	0,3579099	0,1513403	0,6715133	0,4922925	0,5052910	0,2703024	0,3097700	0,4944529	0,7918021	0,5536846	0,7307954	0,5386246	0,5035803	0,5206896	0,0454601	0,6386057	0,5332049	0,6161660	0,0648235	0,0845871	0,0012645	0,6360035	0,5296739	0,1640009	0,5832151	0,5694005	0,7874767	0,8004857	0,7183909	0,5381817
200	0,1879738	0,6937723	0,4001949	0,1650337	0,4904053	0,4956339	0,5568935	0,3796856	0,2285076	0,5617921	0,6363825	0,5214750	0,6634906	0,5037894	0,4622809	0,5443635	0,0312791	0,5116785	0,5792737	0,5743445	0,0432885	0,0881560	0,0012125	0,5028745	0,4661923	0,1318693	0,5838223	0,5281539	0,8393150	0,6852166	0,5587274	0,5464433
220	0,2250733	0,8154025	0,3000528	0,1381607	0,6262422	0,6146572	0,4472321	0,3401824	0,3191784	0,4181562	0,7363598	0,4642624	0,6771209	0,5198608	0,5932645	0,6312922	0,0399889	0,6554510	0,5220055	0,6638416	0,0590937	0,0992039	0,0014691	0,5724060	0,4613379	0,1608439	0,4617643	0,6035055	0,6351593	0,6961942	0,7366551	0,5066635
240	0,1437392	0,7285799	0,4053690	0,1393808	0,7809662	0,4283456	0,5563660	0,2671609	0,2672728	0,4666869	0,8056946	0,4684029	0,7476676	0,5393514	0,5355018	0,5042680	0,0431299	0,5387333	0,6055788	0,6134759	0,0483026	0,1133569	0,0023006	0,6295662	0,3847317	0,0829831	0,5747146	0,6261785	0,6927145	0,5492658	0,8378320	0,4475571
260	0,2171428	0,8666080	0,3767417	0,1381629	0,7084089	0,4162862	0,4535137	0,2508905	0,3437413	0,5741149	0,6993409	0,3434167	0,6982892	0,5601506	0,6181178	0,4334746	0,0804199	0,5460692	0,5590969	0,5590270	0,0509294	0,0538716	0,0011920	0,7932014	0,3890958	0,0984755	0,5192351	0,4968812	0,6859907	0,5708772	0,5726888	0,4159353
